p,mean p omega
0.0664,0.0664
0.6945,0.0461
0.0258,0.2701
0.2320,0.1289
0.2320,0.1599
0.1256,0.1209
0.0631,0.0838
0.0208,0.1808
0.0208,0.0208
0.0208,0.2518
0.5386,0.3074
0.6597,0.2780
0.0772,0.3108
0.2100,0.1436
0.2100,0.3053
0.3141,0.2617
0.1882,0.3151
0.1882,0.1741
0.1600,0.1936
0.2132,0.1811
0.1910,0.1202
0.0853,0.1747
0.4212,0.2463
0.4212,0.2626
0.0452,0.3115
0.1107,0.3201
0.5859,0.1284
0.0624,0.1765
0.1799,0.1799
0.1799,0.2917
0.1663,0.1888
0.1294,0.1442
0.1294,0.1221
0.1315,0.1818
0.0620,0.1811
0.0620,0.0620
0.6290,0.3334
0.6290,0.3859
0.6290,0.3221
0.1096,0.2986
0.0664,0.3258
0.0258,0.2914
0.0258,0.0258
0.0258,0.1069
0.1551,0.0838
0.0631,0.1374
0.0631,0.1119
0.1606,0.0663
0.0208,0.0925
0.0943,0.0515
0.0702,0.2011
0.0772,0.2193
0.0772,0.0731
0.0772,0.1934
0.2848,0.2073
0.3347,0.1902
0.0810,0.1816
0.1600,0.1181
0.1600,0.1600
0.1600,0.1992
0.0971,0.0883
0.0011,0.0701
0.0971,0.2322
0.0452,0.1577
0.1107,0.0616
0.1107,0.1107
0.1107,0.3233
0.2169,0.1691
0.1799,0.3242
0.6541,0.2213
0.2797,0.3470
0.1294,0.1496
0.1361,0.1797
0.1361,0.1327
0.1315,0.1469
0.0620,0.1695
0.1050,0.0835
0.1050,0.3445
0.4326,0.4189
0.4326,0.2961
0.4326,0.2262
0.0128,0.0215
0.0258,0.0949
0.0144,0.0201
0.0144,0.1053
0.2060,0.1110
0.1606,0.1855
0.1606,0.1474
0.0943,0.3178
0.0943,0.1201
0.0943,0.0750
0.0702,0.0969
0.0772,0.1369
0.2017,0.2900
0.5386,0.2613
0.0810,0.1613
0.0433,0.0684
0.0433,0.1017
0.1600,0.1899
0.2627,0.2241
0.0011,0.2052
0.0011,0.1430
0.2529,0.0364
0.0019,0.1110
0.0452,0.1480
0.1107,0.1165
0.3800,0.1767
0.2169,0.2053
0.2459,0.1990
0.2459,0.3986
0.3471,0.1957
0.1831,0.2228
0.3236,0.1936
0.1315,0.2734
0.3605,0.2132
0.3793,0.1891
0.2113,0.2276
0.2113,0.3278
0.5091,0.3126
0.3031,0.4062
0.3800,0.3047
0.0128,0.1643
0.3263,0.0177
0.0144,0.1080
0.0457,0.0701
0.2060,0.1258
0.3125,0.1907
0.1606,0.2296
0.8412,0.0912
0.1975,0.0737
0.0702,0.1424
0.1388,0.0962
0.1056,0.1242
0.1056,0.1697
0.2017,0.3069
0.0773,0.1200
0.1151,0.2293
0.0433,0.2122
0.2933,0.0887
0.0757,0.2729
0.4598,0.1312
0.3169,0.2058
0.0456,0.2741
0.2095,0.0857
0.2025,0.2647
0.1935,0.1340
0.1249,0.2081
0.1531,0.1502
0.1531,0.2130
0.3471,0.2446
0.1581,0.2190
0.0909,0.1889
0.3236,0.1684
0.2833,0.2678
0.3793,0.4205
0.1225,0.3151
0.6597,0.4390
0.4858,0.3318
0.3031,0.4315
0.3031,0.2031
0.1030,0.1666
0.2151,0.1103
0.7166,0.4047
0.0457,0.0567
0.0457,0.0457
0.0457,0.1146
0.1778,0.1879
0.2157,0.2633
0.1975,0.2925
0.0566,0.1476
0.1388,0.0806
