gen,mean p,sigma p,max p
116,0.2184,0.0491,0.2619
117,0.2183,0.0496,0.2619
118,0.2191,0.0500,0.2619
119,0.2202,0.0490,0.2634
120,0.2206,0.0490,0.2634
121,0.2211,0.0489,0.2595
122,0.2214,0.0494,0.2623
123,0.2213,0.0497,0.2623
124,0.2222,0.0489,0.2623
125,0.2231,0.0487,0.2594
126,0.2232,0.0486,0.2613
127,0.2232,0.0492,0.2594
128,0.2240,0.0491,0.2629
129,0.2243,0.0491,0.2623
130,0.2252,0.0486,0.2623
131,0.2252,0.0490,0.2627
132,0.2252,0.0490,0.2623
133,0.2241,0.0509,0.2623
134,0.2235,0.0521,0.2623
135,0.2249,0.0505,0.2623
136,0.2250,0.0500,0.2623
137,0.2246,0.0508,0.2623
138,0.2238,0.0520,0.2623
139,0.2232,0.0532,0.2635
140,0.2234,0.0536,0.2623
141,0.2233,0.0538,0.2623
142,0.2227,0.0549,0.2635
143,0.2244,0.0532,0.2635
144,0.2253,0.0518,0.2623
145,0.2259,0.0513,0.2627
146,0.2260,0.0512,0.2623
147,0.2262,0.0509,0.2623
148,0.2264,0.0509,0.2623
149,0.2274,0.0499,0.2632
150,0.2277,0.0494,0.2632
151,0.2275,0.0501,0.2663
152,0.2281,0.0496,0.2663
153,0.2281,0.0495,0.2663
154,0.2281,0.0501,0.2663
155,0.2281,0.0509,0.2685
156,0.2278,0.0518,0.2685
157,0.2291,0.0502,0.2728
158,0.2295,0.0502,0.2685
159,0.2301,0.0502,0.2685
160,0.2307,0.0501,0.2685
161,0.2314,0.0500,0.2685
162,0.2319,0.0496,0.2685
163,0.2322,0.0494,0.2685
164,0.2323,0.0495,0.2685
165,0.2327,0.0489,0.2717
166,0.2334,0.0480,0.2710
167,0.2339,0.0475,0.2685
168,0.2344,0.0474,0.2708
169,0.2345,0.0478,0.2706
170,0.2345,0.0478,0.2685
171,0.2345,0.0476,0.2685
172,0.2341,0.0482,0.2692
173,0.2343,0.0479,0.2710
174,0.2347,0.0479,0.2712
175,0.2351,0.0477,0.2685
176,0.2355,0.0473,0.2685
177,0.2360,0.0468,0.2685
178,0.2365,0.0467,0.2685
179,0.2373,0.0462,0.2685
180,0.2377,0.0458,0.2716
181,0.2378,0.0458,0.2692
182,0.2382,0.0455,0.2698
183,0.2384,0.0449,0.2685
184,0.2390,0.0448,0.2697
185,0.2392,0.0447,0.2716
186,0.2393,0.0447,0.2724
187,0.2392,0.0447,0.2726
188,0.2386,0.0449,0.2721
189,0.2381,0.0456,0.2689
190,0.2387,0.0453,0.2689
191,0.2393,0.0453,0.2714
192,0.2396,0.0453,0.2713
193,0.2398,0.0450,0.2711
194,0.2396,0.0450,0.2711
195,0.2396,0.0444,0.2689
196,0.2395,0.0444,0.2718
197,0.2395,0.0449,0.2732
198,0.2398,0.0453,0.2710
199,0.2402,0.0450,0.2725
200,0.2409,0.0452,0.2710
201,0.2416,0.0454,0.2730
202,0.2423,0.0455,0.2733
203,0.2423,0.0461,0.2710
204,0.2426,0.0459,0.2735
205,0.2427,0.0463,0.2720
206,0.2432,0.0468,0.2759
207,0.2439,0.0466,0.2784
208,0.2444,0.0467,0.2784
209,0.2441,0.0485,0.2784
210,0.2420,0.0517,0.2781
211,0.2416,0.0527,0.2803
212,0.2425,0.0518,0.2808
213,0.2427,0.0518,0.2808
214,0.2431,0.0517,0.2808
215,0.2439,0.0512,0.2789
216,0.2445,0.0506,0.2808
217,0.2449,0.0508,0.2795
218,0.2458,0.0499,0.2802
219,0.2461,0.0494,0.2786
220,0.2468,0.0492,0.2796
221,0.2470,0.0495,0.2802
222,0.2462,0.0511,0.2808
223,0.2447,0.0542,0.2802
224,0.2453,0.0535,0.2802
225,0.2451,0.0541,0.2760
226,0.2456,0.0539,0.2760
227,0.2462,0.0532,0.2763
228,0.2481,0.0508,0.2773
229,0.2484,0.0509,0.2809
230,0.2493,0.0500,0.2809
231,0.2494,0.0499,0.2809
232,0.2498,0.0493,0.2809
233,0.2502,0.0488,0.2779
234,0.2503,0.0487,0.2779
235,0.2509,0.0479,0.2783
236,0.2512,0.0475,0.2798
237,0.2505,0.0478,0.2807
238,0.2501,0.0477,0.2780
239,0.2503,0.0473,0.2779
240,0.2504,0.0469,0.2789
241,0.2509,0.0462,0.2785
242,0.2515,0.0455,0.2785
243,0.2529,0.0433,0.2781
244,0.2534,0.0429,0.2798
245,0.2535,0.0433,0.2791
246,0.2531,0.0440,0.2799
247,0.2530,0.0447,0.2802
248,0.2534,0.0440,0.2807
249,0.2534,0.0442,0.2808
250,0.2537,0.0437,0.2788
251,0.2540,0.0433,0.2800
252,0.2541,0.0431,0.2779
253,0.2544,0.0430,0.2792
254,0.2542,0.0437,0.2784
255,0.2543,0.0437,0.2796
256,0.2541,0.0437,0.2796
257,0.2543,0.0434,0.2797
258,0.2546,0.0428,0.2798
259,0.2547,0.0429,0.2800
260,0.2544,0.0438,0.2808
261,0.2544,0.0442,0.2806
262,0.2545,0.0442,0.2799
263,0.2552,0.0430,0.2806
264,0.2547,0.0433,0.2797
265,0.2550,0.0432,0.2800
266,0.2555,0.0428,0.2844
267,0.2557,0.0430,0.2837
268,0.2558,0.0434,0.2861
269,0.2558,0.0440,0.2916
270,0.2564,0.0435,0.2913
271,0.2566,0.0438,0.2861
272,0.2565,0.0439,0.2868
273,0.2567,0.0444,0.2861
274,0.2569,0.0441,0.2861
275,0.2569,0.0443,0.2861
276,0.2566,0.0448,0.2861
277,0.2569,0.0442,0.2861
278,0.2571,0.0440,0.2861
279,0.2571,0.0443,0.2861
280,0.2574,0.0444,0.2959
281,0.2577,0.0445,0.2861
282,0.2582,0.0442,0.2875
283,0.2582,0.0444,0.2929
284,0.2583,0.0440,0.2880
285,0.2584,0.0438,0.2861
286,0.2583,0.0439,0.2861
287,0.2585,0.0435,0.2915
288,0.2587,0.0430,0.2877
289,0.2592,0.0430,0.2909
290,0.2594,0.0426,0.2899
291,0.2596,0.0426,0.2899
292,0.2594,0.0435,0.2899
293,0.2596,0.0431,0.2899
294,0.2595,0.0430,0.2942
295,0.2596,0.0430,0.2899
296,0.2597,0.0429,0.2899
297,0.2597,0.0432,0.2899
298,0.2599,0.0435,0.2899
299,0.2603,0.0433,0.2899
300,0.2604,0.0431,0.2899
301,0.2608,0.0423,0.2899
302,0.2610,0.0420,0.2899
303,0.2616,0.0409,0.2899
304,0.2611,0.0417,0.2929
305,0.2617,0.0407,0.2900
306,0.2617,0.0408,0.2928
307,0.2619,0.0411,0.2900
308,0.2619,0.0408,0.2930
309,0.2621,0.0405,0.2899
310,0.2624,0.0397,0.2930
311,0.2626,0.0397,0.2930
312,0.2628,0.0394,0.2899
313,0.2628,0.0397,0.2909
314,0.2629,0.0393,0.2899
315,0.2629,0.0393,0.2899
316,0.2628,0.0389,0.2899
317,0.2625,0.0393,0.2899
318,0.2626,0.0392,0.2899
319,0.2628,0.0393,0.2899
320,0.2630,0.0392,0.2899
321,0.2630,0.0388,0.2899
322,0.2631,0.0387,0.2946
323,0.2629,0.0386,0.2890
324,0.2631,0.0383,0.2884
325,0.2631,0.0388,0.2935
326,0.2632,0.0387,0.2935
327,0.2635,0.0385,0.2935
328,0.2636,0.0390,0.2935
329,0.2639,0.0389,0.2935
330,0.2644,0.0382,0.2935
331,0.2646,0.0382,0.2985
332,0.2647,0.0385,0.2985
333,0.2644,0.0389,0.2935
334,0.2646,0.0388,0.2935
335,0.2649,0.0385,0.3024
336,0.2652,0.0381,0.2935
337,0.2652,0.0377,0.3021
338,0.2672,0.0305,0.3021
339,0.2678,0.0295,0.3021
340,0.2682,0.0296,0.3071
341,0.2684,0.0291,0.3088
342,0.2686,0.0290,0.3021
343,0.2688,0.0291,0.3021
344,0.2687,0.0291,0.3021
345,0.2686,0.0291,0.3021
346,0.2687,0.0293,0.3021
347,0.2690,0.0286,0.3021
348,0.2690,0.0285,0.3068
349,0.2691,0.0284,0.3089
350,0.2694,0.0271,0.3021
351,0.2693,0.0271,0.3021
352,0.2695,0.0273,0.3021
353,0.2698,0.0272,0.3021
354,0.2699,0.0276,0.3021
355,0.2701,0.0277,0.3021
356,0.2702,0.0277,0.3021
357,0.2701,0.0283,0.3021
358,0.2702,0.0284,0.3028
359,0.2704,0.0288,0.3021
360,0.2704,0.0288,0.3092
361,0.2704,0.0290,0.3021
362,0.2701,0.0286,0.3021
363,0.2695,0.0281,0.3094
364,0.2695,0.0266,0.3021
365,0.2695,0.0263,0.3021
366,0.2695,0.0267,0.2949
367,0.2696,0.0262,0.2949
368,0.2700,0.0256,0.2949
369,0.2701,0.0256,0.2991
370,0.2701,0.0256,0.2991
371,0.2704,0.0254,0.2949
372,0.2709,0.0245,0.3030
373,0.2711,0.0247,0.2972
374,0.2715,0.0245,0.2972
375,0.2718,0.0244,0.2984
376,0.2718,0.0246,0.2978
377,0.2719,0.0247,0.3034
378,0.2719,0.0246,0.2949
379,0.2717,0.0247,0.2949
380,0.2719,0.0240,0.2954
381,0.2724,0.0228,0.2984
382,0.2725,0.0228,0.3027
383,0.2729,0.0221,0.3027
384,0.2731,0.0220,0.2981
385,0.2731,0.0222,0.2949
386,0.2726,0.0235,0.3037
387,0.2729,0.0237,0.2949
388,0.2737,0.0220,0.2949
389,0.2738,0.0219,0.2949
390,0.2738,0.0229,0.3043
391,0.2741,0.0225,0.2999
392,0.2742,0.0219,0.2999
393,0.2745,0.0204,0.2999
394,0.2749,0.0197,0.2999
395,0.2749,0.0187,0.3026
396,0.2751,0.0177,0.3026
397,0.2752,0.0179,0.3026
398,0.2756,0.0166,0.3018
399,0.2757,0.0167,0.2999
400,0.2759,0.0167,0.3041
401,0.2759,0.0170,0.2999
402,0.2762,0.0172,0.2999
403,0.2765,0.0169,0.2987
404,0.2768,0.0167,0.3018
405,0.2769,0.0166,0.2995
406,0.2771,0.0168,0.2949
407,0.2773,0.0164,0.2949
408,0.2775,0.0164,0.2960
409,0.2777,0.0166,0.3027
410,0.2779,0.0164,0.2979
411,0.2781,0.0165,0.3044
412,0.2780,0.0166,0.3034
413,0.2780,0.0166,0.3034
414,0.2779,0.0167,0.3034
415,0.2780,0.0164,0.2965
416,0.2780,0.0163,0.3039
417,0.2781,0.0162,0.3032
418,0.2779,0.0163,0.3024
419,0.2781,0.0161,0.2949
420,0.2781,0.0162,0.3023
421,0.2781,0.0162,0.3023
422,0.2784,0.0161,0.3023
423,0.2783,0.0161,0.3023
424,0.2786,0.0159,0.3023
425,0.2787,0.0160,0.3023
426,0.2788,0.0160,0.3023
427,0.2790,0.0160,0.3023
428,0.2789,0.0164,0.3023
429,0.2790,0.0163,0.3080
430,0.2792,0.0161,0.3047
431,0.2792,0.0160,0.3030
432,0.2793,0.0158,0.3028
433,0.2794,0.0150,0.3028
434,0.2802,0.0126,0.3027
435,0.2802,0.0126,0.3023
436,0.2805,0.0126,0.3018
437,0.2807,0.0126,0.3038
438,0.2808,0.0125,0.2993
439,0.2809,0.0126,0.3028
440,0.2809,0.0125,0.3028
441,0.2811,0.0121,0.3028
442,0.2811,0.0121,0.3028
443,0.2813,0.0117,0.2993
444,0.2815,0.0113,0.3004
445,0.2816,0.0115,0.3017
446,0.2818,0.0113,0.3032
447,0.2817,0.0112,0.3032
448,0.2815,0.0119,0.3032
449,0.2814,0.0117,0.3041
450,0.2814,0.0115,0.3041
451,0.2816,0.0113,0.3032
452,0.2816,0.0113,0.3032
453,0.2816,0.0112,0.3032
454,0.2814,0.0116,0.3042
455,0.2816,0.0111,0.3042
456,0.2823,0.0107,0.2967
457,0.2819,0.0109,0.2967
458,0.2819,0.0105,0.3005
459,0.2819,0.0105,0.3005
460,0.2821,0.0102,0.2959
461,0.2822,0.0100,0.2959
462,0.2822,0.0099,0.3046
463,0.2822,0.0099,0.2961
464,0.2824,0.0099,0.2954
465,0.2825,0.0098,0.3026
466,0.2827,0.0097,0.3026
467,0.2826,0.0099,0.3026
468,0.2830,0.0098,0.3012
469,0.2836,0.0098,0.3048
470,0.2839,0.0098,0.2999
471,0.2840,0.0097,0.3002
472,0.2842,0.0096,0.3033
473,0.2843,0.0098,0.3033
474,0.2846,0.0099,0.3029
475,0.2850,0.0102,0.2999
476,0.2850,0.0104,0.3073
477,0.2851,0.0105,0.3073
478,0.2856,0.0105,0.3016
479,0.2857,0.0105,0.2995
480,0.2858,0.0105,0.3031
481,0.2860,0.0105,0.3081
482,0.2861,0.0106,0.3081
483,0.2862,0.0105,0.3089
484,0.2862,0.0104,0.3061
485,0.2863,0.0104,0.3069
486,0.2864,0.0104,0.3063
487,0.2863,0.0104,0.3063
488,0.2864,0.0105,0.3063
489,0.2865,0.0104,0.3063
490,0.2869,0.0102,0.3063
491,0.2870,0.0100,0.2998
492,0.2871,0.0101,0.3056
493,0.2872,0.0102,0.3078
494,0.2873,0.0102,0.3078
495,0.2873,0.0103,0.3047
496,0.2876,0.0104,0.3089
497,0.2879,0.0106,0.3089
498,0.2880,0.0108,0.3089
499,0.2880,0.0109,0.3089
500,0.2882,0.0109,0.3102
501,0.2882,0.0109,0.3089
502,0.2884,0.0109,0.3089
503,0.2887,0.0110,0.3089
504,0.2887,0.0110,0.3089
505,0.2889,0.0110,0.3089
506,0.2888,0.0111,0.3139
507,0.2888,0.0111,0.3139
508,0.2889,0.0111,0.3139
509,0.2891,0.0112,0.3089
510,0.2893,0.0112,0.3122
511,0.2891,0.0111,0.3089
512,0.2891,0.0111,0.3089
513,0.2892,0.0111,0.3089
514,0.2892,0.0111,0.3116
515,0.2892,0.0113,0.3095
516,0.2894,0.0113,0.3089
517,0.2895,0.0114,0.3091
518,0.2896,0.0115,0.3089
519,0.2898,0.0114,0.3089
520,0.2900,0.0113,0.3110
521,0.2901,0.0113,0.3099
522,0.2900,0.0114,0.3089
523,0.2900,0.0114,0.3168
524,0.2900,0.0114,0.3187
525,0.2904,0.0114,0.3187
526,0.2905,0.0114,0.3091
527,0.2906,0.0113,0.3091
528,0.2905,0.0113,0.3089
529,0.2903,0.0112,0.3089
530,0.2903,0.0111,0.3089
531,0.2903,0.0112,0.3090
532,0.2904,0.0111,0.3089
533,0.2905,0.0112,0.3089
534,0.2905,0.0112,0.3183
535,0.2904,0.0114,0.3092
536,0.2905,0.0114,0.3089
537,0.2906,0.0110,0.3089
538,0.2906,0.0109,0.3089
539,0.2907,0.0108,0.3089
540,0.2907,0.0108,0.3089
541,0.2908,0.0108,0.3089
542,0.2912,0.0108,0.3089
543,0.2910,0.0109,0.3089
544,0.2912,0.0111,0.3089
545,0.2913,0.0111,0.3089
546,0.2912,0.0110,0.3089
547,0.2912,0.0110,0.3089
548,0.2915,0.0108,0.3094
549,0.2916,0.0108,0.3089
550,0.2915,0.0109,0.3089
551,0.2914,0.0109,0.3089
552,0.2915,0.0109,0.3089
553,0.2917,0.0108,0.3089
554,0.2918,0.0107,0.3123
555,0.2919,0.0107,0.3089
556,0.2919,0.0110,0.3089
557,0.2918,0.0112,0.3089
558,0.2917,0.0112,0.3151
559,0.2917,0.0112,0.3089
560,0.2917,0.0112,0.3089
561,0.2917,0.0112,0.3089
562,0.2916,0.0113,0.3089
563,0.2918,0.0113,0.3089
564,0.2917,0.0114,0.3089
565,0.2921,0.0113,0.3172
566,0.2921,0.0115,0.3172
567,0.2921,0.0113,0.3172
568,0.2922,0.0110,0.3172
569,0.2922,0.0111,0.3172
570,0.2923,0.0111,0.3172
571,0.2924,0.0109,0.3172
572,0.2926,0.0109,0.3172
573,0.2926,0.0110,0.3172
574,0.2925,0.0110,0.3172
575,0.2926,0.0109,0.3187
576,0.2927,0.0110,0.3187
577,0.2928,0.0110,0.3148
578,0.2927,0.0109,0.3148
579,0.2928,0.0109,0.3148
580,0.2929,0.0108,0.3158
581,0.2931,0.0108,0.3148
582,0.2932,0.0109,0.3216
583,0.2933,0.0109,0.3148
584,0.2934,0.0109,0.3148
585,0.2933,0.0110,0.3148
586,0.2935,0.0109,0.3148
587,0.2935,0.0109,0.3148
588,0.2935,0.0109,0.3148
589,0.2935,0.0109,0.3148
590,0.2939,0.0109,0.3148
591,0.2943,0.0104,0.3148
592,0.2944,0.0102,0.3148
593,0.2944,0.0102,0.3171
594,0.2945,0.0103,0.3171
595,0.2942,0.0103,0.3162
596,0.2940,0.0103,0.3162
597,0.2939,0.0103,0.3162
598,0.2941,0.0104,0.3162
599,0.2941,0.0103,0.3162
600,0.2940,0.0102,0.3162
601,0.2938,0.0103,0.3089
602,0.2938,0.0104,0.3103
603,0.2939,0.0104,0.3089
604,0.2940,0.0105,0.3089
605,0.2942,0.0104,0.3093
606,0.2943,0.0104,0.3127
607,0.2941,0.0105,0.3110
608,0.2939,0.0105,0.3089
609,0.2939,0.0107,0.3174
610,0.2939,0.0107,0.3174
611,0.2939,0.0106,0.3174
612,0.2940,0.0106,0.3174
613,0.2945,0.0104,0.3151
614,0.2946,0.0105,0.3126
615,0.2945,0.0104,0.3152
616,0.2945,0.0105,0.3136
617,0.2947,0.0105,0.3155
618,0.2949,0.0104,0.3122
619,0.2951,0.0104,0.3122
620,0.2951,0.0104,0.3188
621,0.2951,0.0104,0.3095
622,0.2951,0.0104,0.3116
623,0.2951,0.0104,0.3185
624,0.2951,0.0104,0.3093
625,0.2952,0.0106,0.3089
626,0.2954,0.0107,0.3188
627,0.2950,0.0106,0.3118
628,0.2948,0.0103,0.3089
629,0.2946,0.0105,0.3089
630,0.2945,0.0107,0.3089
631,0.2948,0.0108,0.3089
632,0.2953,0.0105,0.3089
633,0.2956,0.0105,0.3092
634,0.2957,0.0105,0.3131
635,0.2957,0.0105,0.3147
636,0.2958,0.0104,0.3147
637,0.2956,0.0106,0.3164
638,0.2953,0.0106,0.3164
639,0.2954,0.0105,0.3157
640,0.2957,0.0105,0.3157
641,0.2958,0.0105,0.3117
642,0.2959,0.0105,0.3153
643,0.2960,0.0105,0.3171
644,0.2961,0.0105,0.3150
645,0.2962,0.0105,0.3150
646,0.2961,0.0111,0.3101
647,0.2963,0.0112,0.3121
648,0.2965,0.0113,0.3174
649,0.2967,0.0113,0.3174
650,0.2969,0.0113,0.3174
651,0.2971,0.0113,0.3187
652,0.2973,0.0113,0.3176
653,0.2972,0.0113,0.3176
654,0.2973,0.0112,0.3176
655,0.2974,0.0111,0.3209
656,0.2975,0.0112,0.3209
657,0.2975,0.0112,0.3176
658,0.2976,0.0113,0.3176
659,0.2978,0.0114,0.3187
660,0.2979,0.0114,0.3180
661,0.2980,0.0115,0.3180
662,0.2982,0.0117,0.3181
663,0.2982,0.0117,0.3180
664,0.2982,0.0117,0.3180
665,0.2980,0.0117,0.3180
666,0.2977,0.0118,0.3180
667,0.2978,0.0117,0.3261
668,0.2978,0.0117,0.3192
669,0.2979,0.0117,0.3226
670,0.2981,0.0117,0.3185
671,0.2983,0.0116,0.3231
672,0.2984,0.0116,0.3231
673,0.2987,0.0116,0.3225
674,0.2987,0.0115,0.3225
675,0.2987,0.0115,0.3189
676,0.2987,0.0115,0.3186
677,0.2988,0.0116,0.3186
678,0.2989,0.0116,0.3206
679,0.2989,0.0117,0.3206
680,0.2989,0.0116,0.3180
681,0.2989,0.0116,0.3180
682,0.2992,0.0115,0.3267
683,0.2994,0.0115,0.3250
684,0.2995,0.0114,0.3180
685,0.2998,0.0115,0.3188
686,0.2998,0.0117,0.3180
687,0.2998,0.0118,0.3180
688,0.2993,0.0116,0.3268
689,0.2989,0.0118,0.3184
690,0.2990,0.0117,0.3184
691,0.2991,0.0117,0.3184
692,0.2992,0.0116,0.3228
693,0.2992,0.0116,0.3180
694,0.2992,0.0113,0.3278
695,0.2993,0.0112,0.3263
696,0.2995,0.0113,0.3193
697,0.2995,0.0112,0.3180
698,0.2996,0.0114,0.3223
699,0.2997,0.0114,0.3223
700,0.2998,0.0115,0.3264
701,0.2999,0.0115,0.3180
702,0.3000,0.0116,0.3253
703,0.2998,0.0117,0.3180
704,0.2997,0.0115,0.3180
705,0.2997,0.0116,0.3234
706,0.2997,0.0117,0.3221
707,0.2998,0.0117,0.3278
708,0.2999,0.0117,0.3278
709,0.3001,0.0118,0.3180
710,0.3001,0.0118,0.3236
711,0.3002,0.0119,0.3242
712,0.3002,0.0118,0.3230
713,0.3001,0.0118,0.3180
714,0.3001,0.0119,0.3180
715,0.3002,0.0117,0.3180
716,0.3004,0.0117,0.3231
717,0.3004,0.0116,0.3257
718,0.3006,0.0117,0.3246
719,0.3004,0.0118,0.3246
720,0.3007,0.0118,0.3246
721,0.3009,0.0119,0.3246
722,0.3011,0.0119,0.3246
723,0.3013,0.0119,0.3264
724,0.3012,0.0118,0.3255
725,0.3013,0.0119,0.3214
726,0.3014,0.0119,0.3229
727,0.3015,0.0119,0.3180
728,0.3018,0.0121,0.3272
729,0.3018,0.0121,0.3214
730,0.3017,0.0121,0.3180
731,0.3018,0.0121,0.3258
732,0.3019,0.0122,0.3226
733,0.3021,0.0124,0.3210
734,0.3024,0.0123,0.3239
735,0.3025,0.0125,0.3243
736,0.3026,0.0124,0.3260
737,0.3024,0.0123,0.3182
738,0.3024,0.0121,0.3269
739,0.3022,0.0118,0.3200
740,0.3017,0.0119,0.3239
741,0.3015,0.0119,0.3193
742,0.3016,0.0119,0.3193
743,0.3014,0.0124,0.3268
744,0.3016,0.0126,0.3273
745,0.3016,0.0126,0.3273
746,0.3018,0.0126,0.3273
747,0.3020,0.0128,0.3273
748,0.3021,0.0129,0.3266
749,0.3023,0.0129,0.3219
750,0.3024,0.0128,0.3214
751,0.3027,0.0127,0.3180
752,0.3027,0.0128,0.3273
753,0.3028,0.0129,0.3238
754,0.3030,0.0128,0.3202
755,0.3032,0.0129,0.3262
756,0.3032,0.0127,0.3246
757,0.3035,0.0127,0.3266
758,0.3036,0.0129,0.3266
759,0.3036,0.0128,0.3266
760,0.3037,0.0127,0.3207
761,0.3038,0.0129,0.3234
762,0.3041,0.0129,0.3277
763,0.3043,0.0130,0.3262
764,0.3042,0.0130,0.3265
765,0.3040,0.0132,0.3265
766,0.3043,0.0134,0.3278
767,0.3044,0.0132,0.3238
768,0.3044,0.0132,0.3250
769,0.3043,0.0133,0.3250
770,0.3045,0.0132,0.3233
771,0.3048,0.0132,0.3242
772,0.3051,0.0132,0.3250
773,0.3053,0.0133,0.3263
774,0.3054,0.0133,0.3233
775,0.3052,0.0134,0.3247
776,0.3050,0.0135,0.3246
777,0.3051,0.0134,0.3273
778,0.3050,0.0134,0.3206
779,0.3046,0.0135,0.3217
780,0.3034,0.0134,0.3196
781,0.3025,0.0131,0.3236
782,0.3022,0.0129,0.3272
783,0.3022,0.0128,0.3272
784,0.3023,0.0130,0.3266
785,0.3024,0.0133,0.3245
786,0.3026,0.0136,0.3266
787,0.3028,0.0137,0.3270
788,0.3027,0.0139,0.3270
789,0.3028,0.0139,0.3244
790,0.3032,0.0137,0.3256
791,0.3033,0.0135,0.3262
792,0.3032,0.0134,0.3244
793,0.3033,0.0133,0.3244
794,0.3035,0.0133,0.3244
795,0.3036,0.0132,0.3253
796,0.3037,0.0130,0.3235
797,0.3036,0.0132,0.3224
798,0.3031,0.0138,0.3259
799,0.3030,0.0144,0.3269
800,0.3030,0.0146,0.3224
801,0.3033,0.0147,0.3236
802,0.3037,0.0150,0.3270
803,0.3040,0.0149,0.3224
804,0.3043,0.0149,0.3305
805,0.3046,0.0149,0.3305
806,0.3050,0.0148,0.3305
807,0.3051,0.0147,0.3305
808,0.3048,0.0155,0.3320
809,0.3045,0.0163,0.3251
810,0.3051,0.0161,0.3318
811,0.3056,0.0159,0.3318
812,0.3056,0.0159,0.3318
813,0.3057,0.0157,0.3303
814,0.3057,0.0157,0.3296
815,0.3059,0.0157,0.3296
816,0.3060,0.0157,0.3296
817,0.3059,0.0158,0.3279
818,0.3062,0.0156,0.3279
819,0.3065,0.0155,0.3279
820,0.3066,0.0155,0.3279
