gen,mean p,sigma p,max p
0,0.5104,0.2901,0.9994
1,0.2180,0.1718,0.9994
2,0.1298,0.1033,0.5703
3,0.0948,0.0798,0.5703
4,0.0787,0.0680,0.3892
5,0.0701,0.0630,0.3892
6,0.0640,0.0571,0.3321
7,0.0636,0.0570,0.3218
8,0.0652,0.0576,0.3218
9,0.0651,0.0601,0.3218
10,0.0665,0.0625,0.3218
11,0.0694,0.0645,0.3218
12,0.0712,0.0644,0.3272
13,0.0755,0.0664,0.3218
14,0.0776,0.0641,0.3218
15,0.0769,0.0609,0.3218
16,0.0770,0.0589,0.3218
17,0.0770,0.0580,0.3218
18,0.0781,0.0590,0.3218
19,0.0799,0.0611,0.3218
20,0.0801,0.0617,0.3218
21,0.0825,0.0643,0.3218
22,0.0844,0.0659,0.3218
23,0.0888,0.0684,0.3218
24,0.0932,0.0698,0.2538
25,0.0947,0.0697,0.2538
26,0.0958,0.0708,0.2538
27,0.0988,0.0711,0.2545
28,0.1017,0.0720,0.2545
29,0.1062,0.0732,0.2600
30,0.1105,0.0732,0.2600
31,0.1148,0.0736,0.2538
32,0.1204,0.0733,0.2538
33,0.1258,0.0721,0.2608
34,0.1293,0.0711,0.2542
35,0.1327,0.0698,0.2538
36,0.1374,0.0691,0.2538
37,0.1422,0.0684,0.2568
38,0.1445,0.0677,0.2568
39,0.1486,0.0671,0.2568
40,0.1506,0.0680,0.2600
41,0.1533,0.0666,0.2538
42,0.1544,0.0652,0.2538
43,0.1564,0.0635,0.2538
44,0.1567,0.0639,0.2538
45,0.1555,0.0641,0.2569
46,0.1549,0.0632,0.2569
47,0.1553,0.0631,0.2538
48,0.1571,0.0626,0.2538
49,0.1584,0.0617,0.2538
50,0.1600,0.0600,0.2538
51,0.1616,0.0589,0.2538
52,0.1623,0.0591,0.2555
53,0.1636,0.0592,0.2538
54,0.1667,0.0581,0.2598
55,0.1698,0.0571,0.2629
56,0.1726,0.0550,0.2569
57,0.1739,0.0546,0.2611
58,0.1759,0.0531,0.2611
59,0.1775,0.0515,0.2611
60,0.1798,0.0497,0.2611
61,0.1814,0.0483,0.2626
62,0.1821,0.0486,0.2586
63,0.1826,0.0487,0.2569
64,0.1843,0.0490,0.2569
65,0.1852,0.0492,0.2609
66,0.1849,0.0487,0.2613
67,0.1866,0.0478,0.2581
68,0.1867,0.0479,0.2605
69,0.1882,0.0484,0.2605
70,0.1893,0.0487,0.2616
71,0.1899,0.0485,0.2610
72,0.1906,0.0482,0.2610
73,0.1916,0.0483,0.2610
74,0.1927,0.0480,0.2610
75,0.1941,0.0488,0.2611
76,0.1950,0.0487,0.2611
77,0.1964,0.0483,0.2654
78,0.1970,0.0479,0.2632
79,0.1981,0.0476,0.2632
80,0.1986,0.0469,0.2632
81,0.1993,0.0470,0.2630
82,0.1991,0.0465,0.2611
83,0.1983,0.0462,0.2611
84,0.1992,0.0466,0.2611
85,0.1993,0.0466,0.2611
86,0.1999,0.0469,0.2611
87,0.1993,0.0475,0.2632
88,0.1995,0.0479,0.2636
89,0.1980,0.0493,0.2631
90,0.1941,0.0529,0.2611
91,0.1932,0.0550,0.2611
92,0.1927,0.0573,0.2611
93,0.1912,0.0604,0.2570
94,0.1905,0.0631,0.2618
95,0.1906,0.0632,0.2665
96,0.1920,0.0626,0.2603
97,0.1941,0.0611,0.2595
98,0.1967,0.0595,0.2559
99,0.1995,0.0576,0.2559
100,0.2012,0.0569,0.2611
101,0.2020,0.0559,0.2589
102,0.2034,0.0544,0.2601
103,0.2051,0.0543,0.2594
104,0.2062,0.0547,0.2607
105,0.2073,0.0544,0.2595
106,0.2099,0.0529,0.2606
107,0.2112,0.0526,0.2604
108,0.2122,0.0526,0.2628
109,0.2143,0.0521,0.2586
110,0.2154,0.0519,0.2610
111,0.2154,0.0522,0.2632
112,0.2159,0.0520,0.2632
113,0.2168,0.0509,0.2632
114,0.2175,0.0504,0.2604
115,0.2176,0.0495,0.2601
