p,mean p omega,u,deg
0.0004,0.0043,10.0132,4.0000
0.0029,0.0083,9.9495,3.0000
0.0035,0.0090,10.0260,4.0000
0.0249,0.0069,10.0687,6.0000
0.0084,0.0084,10.0481,5.0000
0.0172,0.0039,9.9017,4.0000
0.0035,0.0118,9.6462,12.0000
0.0110,0.0077,9.9939,5.0000
0.0108,0.0101,9.9827,6.0000
0.0159,0.0070,10.0137,6.0000
0.0073,0.0064,10.0594,7.0000
0.0029,0.0064,9.9137,2.0000
0.0157,0.0024,9.9111,7.0000
0.0035,0.0063,9.9413,8.0000
0.0035,0.0021,9.9857,2.0000
0.0029,0.0054,10.0336,2.0000
0.0029,0.0074,10.0343,8.0000
0.0186,0.0146,9.9966,5.0000
0.0036,0.0060,9.9456,3.0000
0.0036,0.0040,9.9792,4.0000
0.0035,0.0045,10.0260,5.0000
0.0029,0.0065,10.0367,5.0000
0.0029,0.0075,10.0069,5.0000
0.0053,0.0049,10.0431,5.0000
0.0000,0.0083,9.9714,6.0000
0.0014,0.0018,10.0861,4.0000
0.0029,0.0098,9.9503,6.0000
0.0036,0.0164,10.0106,3.0000
0.0032,0.0103,10.0353,2.0000
0.0035,0.0073,9.9464,4.0000
0.0173,0.0075,10.0889,5.0000
0.0035,0.0048,10.0752,5.0000
0.0035,0.0093,10.0687,2.0000
0.0035,0.0121,9.9470,1.0000
0.0029,0.0029,10.0037,2.0000
0.0029,0.0032,10.0408,7.0000
0.0103,0.0037,10.0392,3.0000
0.0036,0.0122,9.9468,4.0000
0.0035,0.0058,10.0349,4.0000
0.0029,0.0096,9.9374,4.0000
0.0131,0.0084,10.0947,2.0000
0.0265,0.0052,10.1462,10.0000
0.0053,0.0036,9.9657,2.0000
0.0073,0.0073,10.0400,1.0000
0.0210,0.0118,9.9485,3.0000
0.0047,0.0037,10.0061,3.0000
0.0014,0.0036,9.9856,1.0000
0.0073,0.0133,9.9861,3.0000
0.0000,0.0042,9.9016,3.0000
0.0108,0.0074,10.0374,5.0000
0.0176,0.0141,9.9027,4.0000
0.0167,0.0057,10.0354,3.0000
0.0143,0.0249,10.1083,1.0000
0.0172,0.0087,10.0315,3.0000
0.0036,0.0034,10.0242,5.0000
0.0172,0.0101,9.9200,6.0000
0.0033,0.0100,10.0194,5.0000
0.0006,0.0111,10.1270,5.0000
0.0036,0.0044,9.9720,2.0000
0.0035,0.0152,10.0101,2.0000
0.0029,0.0035,9.9941,1.0000
0.0035,0.0265,9.7691,2.0000
0.0014,NaN,0.0000,0.0000
0.0000,0.0089,9.9951,3.0000
0.0036,0.0027,10.0703,4.0000
0.0000,0.0017,10.0269,6.0000
0.0053,0.0096,10.0071,4.0000
0.0053,0.0046,10.0484,5.0000
0.0053,0.0040,10.0128,3.0000
0.0157,0.0076,10.0842,8.0000
0.0047,0.0067,9.9850,3.0000
0.0047,0.0056,10.0607,4.0000
0.0014,0.0079,9.9413,4.0000
0.0029,0.0050,10.0383,4.0000
0.0029,0.0109,9.8799,7.0000
0.0172,0.0172,10.0000,1.0000
0.0053,0.0035,10.1890,2.0000
0.0173,0.0074,10.1474,3.0000
0.0035,0.0128,9.9666,5.0000
0.0104,0.0050,10.0766,4.0000
0.0029,0.0050,10.0157,5.0000
0.0172,0.0136,9.9087,4.0000
0.0056,0.0102,10.0664,7.0000
0.0036,0.0106,9.9961,6.0000
0.0108,0.0037,9.9485,3.0000
0.0035,0.0035,10.0457,3.0000
0.0035,0.0148,9.7995,6.0000
0.0029,0.0029,10.0739,2.0000
0.0053,0.0047,10.0480,3.0000
0.0036,0.0072,10.0654,2.0000
0.0073,0.0068,10.0540,7.0000
0.0073,0.0036,10.0238,6.0000
0.0047,0.0047,9.9622,1.0000
0.0265,0.0024,10.1352,3.0000
0.0035,0.0053,10.0076,4.0000
0.0035,0.0058,10.1066,4.0000
0.0073,0.0113,9.9683,3.0000
0.0029,0.0086,9.9882,5.0000
0.0029,0.0127,10.0515,4.0000
0.0029,0.0047,10.0524,6.0000
0.0157,0.0050,9.9722,5.0000
0.0121,0.0117,9.9575,4.0000
0.0035,0.0114,9.8814,4.0000
0.0032,0.0035,10.1889,2.0000
0.0127,0.0108,10.0611,5.0000
0.0029,0.0065,10.0749,6.0000
0.0097,0.0045,9.9578,4.0000
0.0029,0.0057,10.0995,6.0000
0.0210,0.0174,9.9458,5.0000
0.0029,0.0070,10.0269,7.0000
0.0036,0.0151,9.8542,2.0000
0.0172,0.0106,9.9342,2.0000
0.0053,0.0045,10.0058,6.0000
0.0000,0.0082,9.9881,3.0000
0.0176,0.0113,9.8400,6.0000
0.0047,0.0049,10.0049,3.0000
0.0121,0.0096,10.0502,5.0000
0.0073,0.0158,9.8999,5.0000
0.0004,0.0091,10.0566,5.0000
0.0119,0.0065,10.0136,3.0000
0.0172,0.0132,9.9555,5.0000
0.0172,0.0164,9.9305,5.0000
0.0014,0.0076,10.0313,3.0000
0.0036,0.0108,10.0342,4.0000
0.0000,0.0037,10.0204,4.0000
0.0073,0.0132,9.9177,3.0000
0.0048,0.0196,9.7304,5.0000
0.0127,0.0099,9.9590,3.0000
0.0029,0.0060,9.9424,5.0000
0.0035,0.0093,10.0659,6.0000
0.0000,0.0123,9.9711,1.0000
0.0000,0.0051,10.0181,5.0000
0.0047,0.0059,10.0695,8.0000
0.0053,0.0088,10.0014,6.0000
0.0108,0.0115,9.9546,4.0000
0.0210,0.0148,9.9418,5.0000
0.0108,NaN,0.0000,0.0000
0.0088,0.0051,10.0382,3.0000
0.0047,0.0085,10.0173,4.0000
0.0403,0.0039,10.1601,5.0000
0.0047,0.0060,9.9847,2.0000
0.0073,0.0080,10.0447,3.0000
0.0035,0.0044,10.0094,2.0000
0.0119,0.0021,10.0839,6.0000
0.0053,0.0067,10.0749,5.0000
0.0159,0.0192,10.0162,4.0000
0.0108,0.0103,9.9772,6.0000
0.0014,0.0128,10.0884,2.0000
0.0053,0.0034,10.0231,6.0000
0.0036,0.0159,9.9121,3.0000
0.0004,0.0138,9.8616,9.0000
0.0004,0.0071,9.9567,5.0000
0.0073,0.0073,10.0000,1.0000
0.0053,0.0116,10.0353,2.0000
0.0036,0.0045,10.0048,2.0000
0.0195,0.0023,10.0418,3.0000
0.0016,0.0024,10.0757,2.0000
0.0014,0.0050,10.0296,4.0000
0.0014,0.0014,10.0847,1.0000
0.0172,0.0073,10.0461,4.0000
0.0172,0.0134,9.9640,3.0000
0.0053,0.0093,10.0424,7.0000
0.0036,0.0033,9.9991,2.0000
0.0159,0.0025,9.9265,3.0000
0.0004,0.0042,9.9807,4.0000
0.0107,0.0073,10.0339,1.0000
0.0053,0.0120,10.0652,2.0000
0.0053,0.0082,10.0314,3.0000
0.0211,0.0082,10.0563,6.0000
0.0000,0.0130,10.0423,5.0000
0.0053,0.0062,9.9677,4.0000
0.0029,0.0067,10.0213,3.0000
0.0029,0.0041,10.0242,4.0000
0.0035,0.0052,10.0115,3.0000
0.0036,0.0110,9.8747,4.0000
0.0131,0.0071,10.1059,5.0000
0.0107,0.0113,9.9602,3.0000
0.0133,0.0073,9.9341,3.0000
0.0053,0.0084,10.0396,2.0000
0.0073,0.0132,10.0000,2.0000
0.0004,0.0085,10.0269,5.0000
0.0014,0.0199,9.9457,5.0000
0.0000,0.0111,9.9283,2.0000
0.0033,0.0098,9.9266,2.0000
0.0036,0.0042,10.0000,3.0000
0.0036,0.0111,9.9029,9.0000
0.0014,0.0076,10.0096,3.0000
0.0073,0.0062,9.9529,3.0000
0.0014,0.0054,9.9745,4.0000
0.0403,0.0017,10.1843,2.0000
0.0265,0.0061,10.0221,4.0000
0.0071,0.0060,10.0362,4.0000
0.0172,0.0103,9.9497,2.0000
0.0014,NaN,0.0000,0.0000
0.0073,0.0105,10.0627,4.0000
0.0035,0.0035,10.0000,1.0000
0.0035,0.0035,10.0000,1.0000
0.0014,0.0077,9.9646,4.0000
0.0000,0.0045,10.0144,3.0000
0.0108,0.0029,10.0904,3.0000
0.0053,0.0100,10.0186,6.0000
0.0029,0.0172,9.9711,1.0000
0.0035,0.0056,10.0031,3.0000
0.0047,0.0061,10.0320,3.0000
0.0134,0.0028,10.0474,4.0000
0.0073,0.0058,9.9669,4.0000
0.0108,0.0097,9.9379,4.0000
0.0108,0.0077,10.0275,3.0000
0.0057,0.0063,10.0273,2.0000
0.0016,0.0071,9.9962,6.0000
0.0029,0.0029,10.0037,2.0000
0.0338,0.0024,10.1361,3.0000
0.0249,0.0093,9.9478,7.0000
0.0073,0.0043,10.0060,4.0000
