p,mean p omega,u,deg
0.2239,0.5933,8.7560,2.0000
0.9718,0.5350,14.1867,4.0000
0.5480,0.7421,10.6399,2.0000
0.5480,0.7488,7.1752,8.0000
0.6832,0.8314,10.1680,5.0000
0.7120,0.7905,9.5220,6.0000
0.6542,0.7456,11.8641,7.0000
0.9513,0.5813,0.0000,1.0000
0.8177,0.8635,9.8010,6.0000
0.5933,0.4771,12.8514,1.0000
0.9583,0.8816,14.8019,4.0000
0.7550,0.7391,10.0962,4.0000
0.4117,0.8687,8.1876,5.0000
0.6331,0.7098,12.0012,5.0000
0.3087,0.6793,5.2406,1.0000
0.3087,0.5480,7.6066,1.0000
0.6621,0.9468,8.7752,1.0000
0.3790,0.8754,6.0353,2.0000
0.7616,0.6985,8.1402,5.0000
0.4771,0.9493,6.5190,1.0000
0.0144,0.4650,6.8419,1.0000
0.2088,0.9135,6.3133,3.0000
0.9801,0.7115,13.5463,2.0000
0.9867,0.7407,12.5074,4.0000
0.9513,0.8699,15.4215,3.0000
0.7178,0.7776,9.5227,5.0000
0.9266,0.5700,9.6056,3.0000
0.6554,0.8857,8.3567,3.0000
0.0753,0.8708,5.5856,3.0000
0.0144,0.7813,8.2622,5.0000
0.9801,0.7220,13.2800,3.0000
0.5933,0.5307,10.0833,3.0000
0.7230,0.7178,10.0259,2.0000
0.8817,0.8751,8.9331,6.0000
0.9647,0.7773,11.3153,3.0000
0.8817,0.7481,11.3359,1.0000
0.9423,0.9150,7.0071,3.0000
0.9695,NaN,0.0000,0.0000
0.5480,0.7490,8.0810,8.0000
0.6597,0.8372,8.2628,6.0000
0.7270,0.6466,14.9090,3.0000
0.9592,0.5768,11.2739,4.0000
0.9647,0.7195,8.6783,8.0000
0.9801,0.7593,7.1399,5.0000
0.9781,0.6707,12.1226,2.0000
0.5813,0.7178,9.8535,2.0000
0.7674,0.7730,9.9984,4.0000
0.9583,0.6618,8.3421,7.0000
0.8252,0.6269,9.2617,3.0000
0.9583,0.6832,10.5689,3.0000
0.9611,0.8144,6.1896,3.0000
0.9513,0.6909,12.4547,5.0000
0.6145,0.7184,8.7595,4.0000
0.8260,0.6581,12.2726,3.0000
0.8260,0.8578,9.5520,6.0000
0.7707,0.9090,7.6183,3.0000
0.9801,0.7048,9.5179,3.0000
0.9293,0.8209,8.2212,7.0000
0.6701,0.8374,8.8456,7.0000
0.7178,0.5486,7.8021,5.0000
0.3087,0.7799,11.8035,5.0000
0.5933,0.8380,5.6338,3.0000
0.6597,0.5003,16.4550,3.0000
0.9936,0.9638,8.0519,5.0000
0.8987,0.7238,11.1389,9.0000
0.5480,0.8575,9.2344,5.0000
0.8499,0.7671,11.9786,3.0000
0.7463,0.5482,14.8686,2.0000
0.9312,0.9309,7.5947,3.0000
0.7707,0.8019,8.7609,6.0000
0.6869,0.5465,14.0138,3.0000
0.9103,0.6689,11.8542,2.0000
0.9104,0.7270,11.8548,1.0000
0.3790,0.7621,10.9063,7.0000
0.8669,0.9365,8.7690,4.0000
0.9423,0.7653,13.9487,5.0000
0.4274,0.6553,9.6498,5.0000
0.6554,0.4939,11.2444,3.0000
0.6832,0.6626,16.0252,4.0000
0.9801,0.7710,7.2637,7.0000
0.5480,0.6986,6.1992,3.0000
0.2271,0.7789,8.9331,3.0000
0.8252,0.6443,9.8365,3.0000
0.6621,0.7365,8.6071,2.0000
0.8736,0.4058,12.1471,2.0000
0.8375,0.5284,13.0902,1.0000
0.5933,0.6037,10.3295,2.0000
0.9592,0.7931,8.8171,6.0000
0.8205,0.7800,7.1502,6.0000
0.5138,0.5989,12.4683,5.0000
0.6554,0.8219,8.5558,3.0000
0.6554,0.7254,10.1422,6.0000
0.3541,0.7481,9.2307,6.0000
0.6245,0.5884,13.3112,3.0000
0.9781,0.6293,11.4269,3.0000
0.8817,0.9230,7.9150,6.0000
0.6621,0.8327,6.9265,2.0000
0.7550,0.7795,7.5108,5.0000
0.9801,0.8194,9.0132,5.0000
0.9801,0.8424,2.9878,2.0000
0.9513,0.5216,11.9403,2.0000
0.7481,0.9062,8.4894,5.0000
0.7481,0.8893,9.8957,3.0000
0.4650,0.7603,8.8049,2.0000
0.6621,0.8744,8.9146,2.0000
0.8817,0.7139,9.3324,3.0000
0.9644,0.6785,14.6182,5.0000
0.9513,0.5992,10.7815,3.0000
0.7178,0.6317,8.6641,3.0000
0.7616,0.7238,11.4349,5.0000
0.3541,0.7704,11.2138,3.0000
0.6145,0.5984,7.4898,3.0000
0.8260,0.7550,10.7097,1.0000
0.8987,0.7249,11.7380,1.0000
0.7616,0.7707,9.7290,5.0000
0.6145,0.5950,14.3995,2.0000
0.7178,0.6371,10.2274,4.0000
0.6793,0.4681,14.4751,3.0000
0.7183,NaN,0.0000,0.0000
0.4771,0.8027,6.9579,3.0000
0.8747,0.7056,8.4538,4.0000
0.6542,0.6075,14.1221,5.0000
0.8375,0.5385,6.7679,3.0000
0.7481,0.6576,11.9256,3.0000
0.9104,0.8301,9.1607,6.0000
0.9801,0.5709,9.4338,2.0000
0.9513,0.7401,8.4941,6.0000
0.9312,0.6950,11.2079,4.0000
0.7550,0.7775,12.5278,4.0000
0.9020,0.7812,9.2451,9.0000
0.6596,0.8858,8.7412,10.0000
0.9104,0.7555,11.7975,3.0000
0.0893,0.7873,11.0438,6.0000
0.5813,0.8570,7.3901,5.0000
0.8316,0.8680,8.0813,9.0000
0.9513,0.6620,4.2874,5.0000
0.7871,0.7418,11.4157,5.0000
0.8094,0.7050,14.6878,4.0000
0.9293,0.7708,8.7895,3.0000
0.6793,0.9616,7.2795,2.0000
0.7139,0.8252,16.7152,2.0000
0.6145,0.9742,7.4591,4.0000
0.7616,0.7695,8.9009,5.0000
0.6145,0.5319,10.5363,4.0000
0.7481,0.8224,5.7142,4.0000
0.9513,0.6163,11.3920,5.0000
0.9104,0.6589,13.3555,5.0000
0.9801,0.6511,9.7609,2.0000
0.3541,0.0144,3.7406,1.0000
0.5480,0.6395,7.1933,6.0000
0.8094,0.7484,11.3903,7.0000
0.7139,0.7736,10.4820,7.0000
0.9493,0.4551,14.3236,6.0000
0.9312,0.7445,6.1460,6.0000
0.6701,0.5336,14.4067,2.0000
0.0839,0.5378,9.0517,5.0000
0.7178,0.8059,9.1698,3.0000
0.7249,0.7681,7.3391,6.0000
0.9104,0.8578,8.1246,5.0000
0.6331,0.7192,12.0633,4.0000
0.8252,0.8798,10.4064,3.0000
0.7882,0.7707,10.1754,1.0000
0.7178,0.7249,9.9651,5.0000
0.3541,0.7550,8.9027,2.0000
0.7183,0.6075,14.4899,5.0000
0.9801,0.5284,11.0994,3.0000
0.9801,0.8788,6.7698,4.0000
0.6959,0.6283,12.7442,5.0000
0.9513,0.8260,11.2420,1.0000
0.7550,0.3541,16.1769,2.0000
0.9312,0.5940,12.7993,2.0000
0.5284,0.9250,7.5583,4.0000
0.0926,0.6869,1.0998,2.0000
0.9513,0.5720,13.1467,5.0000
0.4771,0.7073,5.8816,4.0000
0.6738,0.8301,8.8118,6.0000
0.8375,0.7374,7.1185,4.0000
0.6738,0.8456,6.6408,2.0000
0.4771,0.7116,6.3140,2.0000
0.8499,0.6113,12.1330,2.0000
0.9468,0.7598,7.3265,11.0000
0.9629,0.8369,9.4449,8.0000
0.7635,0.6827,5.7675,3.0000
0.7249,0.7962,10.0066,2.0000
0.2305,0.8659,7.2402,6.0000
0.7249,0.5544,17.6552,5.0000
0.7552,0.8654,5.0882,4.0000
0.8817,0.8349,8.5620,5.0000
0.6621,0.7698,9.6607,3.0000
0.9801,0.7781,8.8621,5.0000
0.2571,0.5050,16.0822,3.0000
0.8880,0.7761,9.6100,5.0000
0.8094,0.7954,10.6707,3.0000
0.9114,0.8591,7.3599,3.0000
0.7707,0.8493,9.8246,2.0000
0.6738,0.5683,16.5674,6.0000
0.0839,0.5149,9.1081,4.0000
0.9104,0.5182,11.0135,4.0000
0.5480,0.4365,10.8629,3.0000
0.9468,0.7308,11.5012,9.0000
0.9801,0.4931,8.5523,2.0000
0.9801,0.7537,12.7623,3.0000
0.8348,0.8745,7.9589,5.0000
0.7882,0.7838,9.4817,8.0000
0.3302,0.8226,11.6183,3.0000
0.6621,0.7442,9.4431,2.0000
0.8669,0.6414,11.3884,6.0000
0.4771,0.8918,4.4973,4.0000
0.9513,0.6664,9.3713,5.0000
0.9592,0.7483,15.7320,4.0000
0.9826,0.6681,11.0935,2.0000
0.9826,0.7569,9.3389,4.0000
0.6554,0.7035,14.9979,5.0000
0.9801,0.7400,12.4016,3.0000
0.2579,0.5157,14.6045,2.0000
0.3541,0.5933,7.6083,1.0000
0.7846,0.2271,15.7002,2.0000
0.3790,0.7614,6.6344,7.0000
0.4771,0.6851,9.3284,4.0000
0.8938,0.6858,16.6637,4.0000
0.7481,0.7212,8.5055,6.0000
0.7120,NaN,0.0000,0.0000
0.7270,0.7082,10.8035,9.0000
0.3790,0.6701,7.0890,2.0000
0.9629,0.6339,7.1176,2.0000
0.9468,0.8090,12.9251,2.0000
0.8375,0.6855,10.1015,3.0000
0.6608,0.7834,8.4433,2.0000
0.9515,0.7817,9.1934,4.0000
0.3541,0.7065,10.0434,3.0000
0.6542,0.6818,12.0104,2.0000
0.8817,0.5835,8.4373,3.0000
0.9266,0.5429,16.4537,5.0000
0.7550,0.5823,11.2604,8.0000
0.6793,0.6959,9.8332,1.0000
0.8252,0.8760,9.8864,8.0000
0.7616,0.5306,11.5527,4.0000
0.8316,0.6281,10.4841,3.0000
0.8252,0.9019,8.3852,2.0000
0.6793,0.7284,9.9070,3.0000
0.8499,0.9535,5.9077,2.0000
0.9104,0.6837,10.5594,3.0000
0.6832,0.9760,12.9787,2.0000
0.7635,0.6465,10.0709,5.0000
0.7270,0.6170,9.4330,8.0000
0.9583,0.8737,10.3824,4.0000
0.6701,0.7266,11.9345,4.0000
0.8750,0.8322,11.5521,4.0000
0.9104,0.8528,8.9913,6.0000
0.0144,0.7749,8.2714,2.0000
0.9707,0.5657,14.8204,3.0000
0.0416,0.9707,7.9212,1.0000
0.7178,0.9039,6.3226,3.0000
0.7517,0.7408,11.2929,6.0000
0.9855,0.8966,9.3253,5.0000
0.0261,0.6719,10.3403,6.0000
0.8150,0.8987,9.1627,1.0000
0.5284,0.6212,8.1578,3.0000
0.6832,0.8126,9.1978,2.0000
0.8375,0.8447,17.5356,2.0000
0.9801,0.7995,11.9867,2.0000
0.4771,0.6606,9.6720,3.0000
0.4650,0.7331,6.5322,8.0000
0.0416,0.9312,6.3511,2.0000
0.5933,0.6527,8.5471,4.0000
0.6701,0.9104,7.5971,1.0000
0.6281,0.8318,9.4833,5.0000
0.2579,0.8197,14.7823,5.0000
0.7550,0.7296,10.3989,7.0000
0.5461,0.6383,7.6388,4.0000
0.8094,0.6485,12.1353,5.0000
0.7498,0.8772,8.1143,6.0000
0.8260,0.8837,6.5846,8.0000
0.9592,0.8260,16.5469,1.0000
0.8205,0.6296,12.7451,4.0000
0.8316,0.7617,12.1356,5.0000
0.9312,0.5703,10.4957,4.0000
0.9647,0.6822,11.5240,5.0000
0.0144,0.8707,5.5473,7.0000
0.3297,0.2209,13.0441,2.0000
0.8817,NaN,0.0000,0.0000
0.8260,0.5502,15.0612,5.0000
0.5933,0.7376,13.5640,4.0000
0.0266,0.6642,9.6544,6.0000
0.9493,0.7844,10.2408,4.0000
0.7178,0.6818,12.0002,4.0000
0.5284,0.5492,10.3273,3.0000
0.6793,0.8893,7.2854,5.0000
0.8750,0.8728,9.0494,3.0000
0.6621,0.8328,8.9469,3.0000
0.8817,0.7500,8.4485,4.0000
0.8747,0.6328,5.8962,5.0000
0.7674,0.5222,17.9119,5.0000
0.6281,0.7600,9.4922,5.0000
0.7249,0.7785,11.1822,10.0000
0.9801,0.8309,9.6600,5.0000
0.5480,0.7942,6.9581,5.0000
0.6793,0.7314,10.0438,6.0000
0.9644,0.8312,9.7344,5.0000
0.2579,0.7220,7.6551,9.0000
0.2271,0.6495,11.5300,3.0000
0.8316,0.6221,12.1459,2.0000
0.6621,0.8030,8.8874,9.0000
0.7674,0.6221,12.1749,2.0000
0.8260,0.7565,10.3889,7.0000
0.9826,0.6552,8.6312,5.0000
0.8817,0.7313,9.5550,7.0000
0.8415,0.6868,9.8100,6.0000
0.9513,0.7535,12.3502,3.0000
0.8415,0.7615,7.5721,8.0000
0.9611,0.8634,10.1945,8.0000
0.9104,0.8405,11.9762,2.0000
0.5933,0.4599,12.6225,2.0000
0.7481,0.8570,10.8287,4.0000
0.6793,0.9403,7.4869,6.0000
0.8094,0.8787,9.4956,5.0000
0.7393,0.7255,11.3569,6.0000
0.9801,0.7178,12.6226,2.0000
0.7674,0.7105,7.0273,6.0000
0.9592,0.8212,11.9078,3.0000
0.7249,0.7454,11.8034,7.0000
0.3082,0.6417,8.4148,3.0000
0.4274,0.7392,6.6748,4.0000
0.9833,0.8273,4.1379,2.0000
0.9293,0.8810,6.9226,8.0000
0.7481,0.8081,8.4433,6.0000
0.5284,0.7316,7.6828,4.0000
0.9515,0.6616,10.7685,4.0000
0.9312,0.4229,16.9349,4.0000
0.8880,0.9073,11.3276,4.0000
0.9104,0.7299,11.1600,4.0000
0.8415,0.2868,13.2199,3.0000
0.0144,0.4627,9.3053,2.0000
0.9293,0.7178,10.2067,1.0000
0.9801,0.8319,13.4229,3.0000
0.7550,0.4970,6.8355,3.0000
0.0144,0.6908,10.9601,4.0000
0.7178,0.8792,9.8405,5.0000
0.4650,0.7463,9.2947,6.0000
0.6145,0.7910,8.5254,5.0000
0.8172,0.7298,10.7354,4.0000
0.0893,0.4032,7.1060,3.0000
0.0261,0.7218,7.4549,6.0000
0.7882,0.6777,7.5615,9.0000
0.9515,0.4998,1.0998,3.0000
0.5820,0.6646,10.7949,5.0000
0.7481,NaN,11.3359,0.0000
0.3541,0.5658,8.8759,3.0000
0.0144,0.5925,12.1165,4.0000
0.7270,0.9635,7.5132,4.0000
0.5814,0.6750,7.0073,7.0000
0.8747,0.5920,11.9229,2.0000
0.3087,0.7452,5.5120,3.0000
0.0839,0.7194,6.7952,4.0000
0.8252,0.8546,7.9573,6.0000
0.8375,0.9780,8.4664,3.0000
0.6259,NaN,0.0000,0.0000
0.6154,0.9082,8.0535,7.0000
0.5480,0.5888,9.0643,3.0000
0.9781,0.6132,8.5181,3.0000
0.8316,0.6241,10.2357,3.0000
0.9104,0.7719,8.9177,6.0000
0.8316,0.6221,12.4956,2.0000
0.4771,0.6639,10.9609,3.0000
0.9583,0.7377,9.6703,4.0000
0.9103,0.8843,9.4179,4.0000
0.8375,0.6332,10.1410,7.0000
0.9718,0.8368,8.6571,2.0000
0.9293,0.7341,9.9022,6.0000
0.7120,0.8218,6.8415,2.0000
0.9583,0.3790,14.8308,3.0000
0.7882,0.5430,11.8710,5.0000
0.9801,0.7975,10.9266,4.0000
0.9647,0.7119,11.5187,3.0000
0.5480,0.9393,7.6965,2.0000
0.7734,0.7269,9.3030,2.0000
0.9781,0.7348,14.7875,3.0000
0.2579,0.6443,5.8877,2.0000
0.5461,0.9801,5.6598,2.0000
0.7120,0.7725,10.3178,5.0000
0.7707,0.8151,10.9143,3.0000
0.2579,0.6102,11.1289,6.0000
0.7635,0.6717,12.9341,3.0000
0.8348,0.5898,8.5360,4.0000
0.7481,0.7544,10.0100,5.0000
0.8094,0.0144,0.0000,1.0000
0.8747,0.5724,12.0951,7.0000
0.8372,0.8115,9.8182,4.0000
0.9718,0.8515,7.5699,5.0000
0.7707,0.7441,10.2458,7.0000
0.8094,0.8361,7.4031,7.0000
0.9801,0.7836,13.5787,2.0000
0.9104,0.3087,13.8507,2.0000
0.8938,0.6793,10.5476,2.0000
0.6793,0.8120,8.9660,5.0000
0.8817,0.6400,9.5533,5.0000
0.6738,0.6322,11.4074,4.0000
0.7882,0.8033,10.2077,3.0000
0.9592,0.8304,17.7721,2.0000
0.5284,0.8033,6.8700,4.0000
0.8817,0.7069,13.5335,5.0000
0.7139,0.5936,8.4324,4.0000
0.9801,0.6773,8.9519,5.0000
0.6154,0.5836,18.2688,6.0000
0.9956,0.7126,6.7467,7.0000
0.7578,0.7601,13.1477,4.0000
0.8271,0.8975,8.3279,4.0000
0.8750,0.7404,9.1520,10.0000
0.8499,0.7292,9.1141,4.0000
0.7846,0.6892,10.9676,7.0000
0.7674,0.6872,11.4004,3.0000
0.9468,0.5485,10.0689,5.0000
0.7707,0.8271,11.1244,1.0000
0.5813,0.6867,8.5912,4.0000
0.8372,0.4735,10.3929,3.0000
0.2579,0.4935,12.6989,2.0000
0.7498,0.5147,13.6750,4.0000
0.9104,0.6765,6.5219,2.0000
0.9583,0.6613,14.7336,6.0000
0.6959,0.7870,11.1428,5.0000
0.8499,0.7255,10.0956,2.0000
0.7249,0.8083,9.5888,3.0000
0.8252,0.2579,15.6727,1.0000
0.4117,0.7526,9.6349,6.0000
0.7707,0.6215,13.6063,3.0000
0.7550,0.6408,11.3570,3.0000
0.8260,0.8809,7.2779,8.0000
0.9513,0.7290,8.1736,4.0000
0.3702,0.8031,7.2177,4.0000
0.7846,0.6186,11.3471,3.0000
0.8499,0.6145,10.8246,1.0000
0.4650,0.5602,10.1358,4.0000
0.8817,0.7886,4.0196,5.0000
0.7635,0.7143,11.4135,7.0000
0.8938,0.6228,11.6518,3.0000
0.7120,0.8000,8.8741,6.0000
0.8094,0.7405,9.2012,5.0000
0.7481,0.6886,7.3142,3.0000
0.8375,0.5842,11.1266,3.0000
0.9468,0.9616,5.0527,2.0000
0.8747,0.6525,14.4303,1.0000
0.8375,0.8012,9.6182,6.0000
0.6525,0.8094,8.5802,4.0000
0.0144,0.7080,13.2518,4.0000
0.9692,0.4934,11.9592,6.0000
0.7882,0.1613,17.1473,2.0000
0.9781,0.7371,10.4691,3.0000
0.8726,0.5933,12.8842,2.0000
0.8375,0.8329,9.4762,5.0000
0.7481,0.6950,5.8577,4.0000
0.6621,0.8602,7.0760,3.0000
0.3087,0.8944,7.5865,4.0000
0.5316,0.7728,8.5402,4.0000
0.6832,0.6646,11.0839,5.0000
0.7249,0.8228,8.7069,3.0000
0.5813,0.7457,8.9906,5.0000
0.5467,0.6631,7.9203,4.0000
0.8817,0.6832,9.7134,1.0000
0.5480,0.6666,9.3760,3.0000
0.9513,0.9307,8.6312,5.0000
0.9513,0.5667,10.6911,6.0000
0.9863,0.9793,10.7059,2.0000
0.6941,0.9209,6.9672,6.0000
