gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
138,0.0009,0.0021,0.0139,9.8376,1.2645,1.9997
139,0.0010,0.0020,0.0134,9.8441,1.2404,2.0000
140,0.0009,0.0020,0.0134,9.8498,1.2157,1.9947
141,0.0009,0.0019,0.0134,9.8561,1.1905,1.9937
142,0.0009,0.0020,0.0147,9.8693,1.1384,1.9931
143,0.0009,0.0021,0.0154,9.8630,1.1648,1.9897
144,0.0009,0.0021,0.0154,9.8624,1.1647,1.9865
145,0.0009,0.0021,0.0154,9.8561,1.1905,1.9840
146,0.0009,0.0020,0.0154,9.8686,1.1383,1.9790
147,0.0008,0.0020,0.0154,9.8561,1.1905,1.9761
148,0.0008,0.0021,0.0154,9.8563,1.1905,1.9834
149,0.0009,0.0020,0.0154,9.8568,1.1906,1.9931
150,0.0009,0.0022,0.0154,9.8563,1.1905,2.0006
151,0.0010,0.0022,0.0188,9.8440,1.2404,2.0009
152,0.0009,0.0022,0.0188,9.8499,1.2157,2.0075
153,0.0009,0.0021,0.0188,9.8498,1.2157,1.9969
154,0.0009,0.0021,0.0188,9.8501,1.2157,1.9922
155,0.0008,0.0020,0.0188,9.8498,1.2157,1.9934
156,0.0009,0.0021,0.0188,9.8498,1.2157,1.9978
157,0.0009,0.0021,0.0188,9.8686,1.1383,2.0016
158,0.0009,0.0022,0.0188,9.8628,1.1648,1.9950
159,0.0009,0.0021,0.0188,9.8495,1.2157,2.0031
160,0.0009,0.0023,0.0188,9.8627,1.1647,2.0072
161,0.0010,0.0023,0.0247,9.8499,1.2158,2.0031
162,0.0010,0.0023,0.0247,9.8505,1.2159,1.9953
163,0.0009,0.0022,0.0188,9.8626,1.1648,1.9900
164,0.0009,0.0022,0.0188,9.8499,1.2157,1.9984
165,0.0009,0.0021,0.0188,9.8499,1.2157,2.0000
166,0.0010,0.0022,0.0137,9.8504,1.2158,1.9962
167,0.0009,0.0021,0.0137,9.8376,1.2646,2.0097
168,0.0009,0.0021,0.0137,9.8499,1.2157,2.0000
169,0.0008,0.0019,0.0137,9.8746,1.1112,2.0012
170,0.0009,0.0020,0.0137,9.8686,1.1382,2.0069
171,0.0009,0.0021,0.0108,9.8752,1.1112,2.0037
172,0.0009,0.0020,0.0169,9.8814,1.0835,2.0053
173,0.0009,0.0021,0.0169,9.8626,1.1647,2.0037
174,0.0009,0.0021,0.0169,9.8559,1.1904,2.0003
175,0.0010,0.0022,0.0169,9.8502,1.2157,1.9944
