p,mean p omega,u,deg
0.9703,0.9700,10.1507,2.0000
0.9703,0.9711,10.1412,2.0000
0.9719,0.9789,9.9025,5.0000
0.9922,0.9790,10.0514,2.0000
0.9837,0.9769,9.9474,4.0000
0.9807,0.9860,9.8650,5.0000
0.9555,0.9841,9.9429,7.0000
0.9729,0.9740,9.8850,5.0000
0.9776,0.9789,10.0924,4.0000
0.9776,0.9808,10.0230,5.0000
0.9841,0.9812,10.0344,6.0000
0.9730,NaN,0.0000,0.0000
0.9820,0.9757,10.0119,5.0000
0.9695,0.9952,9.5953,3.0000
0.9809,0.9850,9.9147,6.0000
0.9703,0.9792,9.9065,4.0000
0.9870,0.9835,10.0356,1.0000
0.9826,0.9815,9.9357,5.0000
0.9863,0.9862,9.9717,6.0000
0.9776,0.9792,9.9267,3.0000
0.9778,0.9832,9.9719,8.0000
0.9592,0.9805,9.8157,1.0000
0.9843,0.9733,10.0234,1.0000
0.9870,0.9808,10.1211,2.0000
0.9766,0.9732,9.9836,2.0000
0.9826,0.9863,9.9197,3.0000
0.9809,0.9786,10.0536,2.0000
0.9715,0.9835,9.9863,3.0000
0.9790,0.9901,9.9838,1.0000
0.9841,0.9778,10.1372,2.0000
0.9895,0.9731,10.1348,4.0000
0.9895,0.9698,10.0516,1.0000
0.9870,0.9808,10.0022,10.0000
0.9703,0.9832,9.8214,3.0000
0.9792,0.9845,10.0107,3.0000
0.9835,0.9841,9.9644,1.0000
0.9865,0.9804,10.2507,2.0000
0.9729,0.9797,9.9987,3.0000
0.9808,0.9771,10.0153,6.0000
0.9948,0.9893,10.0439,4.0000
0.9823,0.9857,9.9562,2.0000
0.9703,0.9776,9.9270,1.0000
0.9901,0.9770,10.0057,3.0000
0.9964,0.9791,10.1095,7.0000
0.9901,0.9798,10.0042,3.0000
0.9801,0.9833,9.9948,2.0000
0.9801,0.9765,10.0916,5.0000
0.9895,0.9739,10.0309,6.0000
0.9776,0.9802,10.0279,8.0000
0.9835,0.9803,10.0710,6.0000
0.9786,0.9807,9.9957,1.0000
0.9623,0.9808,9.9722,5.0000
0.9837,0.9770,10.0204,4.0000
0.9555,0.9777,9.9307,4.0000
0.9820,0.9799,10.0920,5.0000
0.9855,0.9776,10.0166,2.0000
0.9786,0.9774,10.0365,7.0000
0.9805,0.9829,9.8907,5.0000
0.9820,0.9814,10.0558,6.0000
0.9715,0.9856,9.8712,2.0000
0.9776,0.9777,10.1066,2.0000
0.9835,0.9810,9.9753,7.0000
0.9843,0.9804,9.9294,5.0000
0.9820,0.9747,10.2136,3.0000
0.9776,0.9875,9.9705,3.0000
0.9826,0.9868,9.9470,3.0000
0.9820,0.9812,10.0559,3.0000
0.9835,0.9870,9.9687,2.0000
0.9841,0.9790,9.9483,9.0000
0.9855,0.9766,9.9538,1.0000
0.9623,0.9854,9.9220,2.0000
0.9841,0.9849,9.8473,7.0000
0.9805,0.9779,10.0004,2.0000
0.9835,NaN,0.0000,0.0000
0.9927,0.9781,10.0002,4.0000
0.9985,0.9839,9.8924,3.0000
0.9807,0.9813,10.0167,2.0000
0.9824,0.9862,10.0514,3.0000
0.9698,0.9821,9.9882,7.0000
0.9801,0.9695,9.9459,1.0000
0.9812,0.9826,9.9991,7.0000
0.9791,0.9817,9.9689,1.0000
0.9776,0.9804,9.9252,8.0000
0.9901,0.9899,9.9404,3.0000
0.9629,0.9818,9.8778,6.0000
0.9807,0.9797,10.0199,2.0000
0.9870,0.9847,10.0722,5.0000
0.9729,0.9837,9.9874,6.0000
0.9870,0.9821,10.0222,7.0000
0.9808,0.9782,10.0777,2.0000
