gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
51,0.8612,0.1708,0.9936,9.8082,2.3892,1.9890
52,0.8653,0.1680,0.9936,9.7787,2.4495,2.0090
53,0.8743,0.1605,0.9936,9.7928,2.3914,2.0037
54,0.8774,0.1600,0.9936,9.7554,2.3738,2.0168
55,0.8800,0.1577,0.9981,9.7152,2.4394,2.0322
56,0.8838,0.1549,0.9981,9.7527,2.3679,2.0199
57,0.8859,0.1558,0.9936,9.7540,2.3225,2.0451
58,0.8918,0.1501,0.9936,9.8364,2.2187,2.0552
59,0.8928,0.1463,0.9936,9.7586,2.2314,2.0664
60,0.8972,0.1486,0.9936,9.7275,2.2719,2.0612
61,0.8968,0.1481,0.9936,9.7461,2.2974,2.0579
62,0.9051,0.1361,0.9936,9.7327,2.3376,2.0818
63,0.9094,0.1322,0.9936,9.7244,2.2448,2.0564
64,0.9081,0.1360,0.9936,9.7219,2.2183,2.0770
65,0.9117,0.1294,0.9967,9.7487,2.1897,2.1074
66,0.9105,0.1297,0.9936,9.6923,2.2376,2.1175
67,0.9185,0.1220,0.9936,9.7075,2.2699,2.1131
68,0.9180,0.1231,1.0000,9.6649,2.2367,2.1048
69,0.9198,0.1233,1.0000,9.6868,2.2190,2.0893
70,0.9231,0.1173,1.0000,9.7298,2.1628,2.0691
71,0.9251,0.1175,1.0000,9.7352,2.0497,2.0821
72,0.9296,0.1067,1.0000,9.7407,2.1069,2.1184
73,0.9354,0.0954,1.0000,9.7501,2.0114,2.1278
74,0.9383,0.0916,1.0000,9.7072,1.9974,2.1243
75,0.9415,0.0865,1.0000,9.7494,1.8882,2.1181
76,0.9419,0.0854,1.0000,9.7765,1.7665,2.1228
77,0.9417,0.0864,1.0000,9.7639,1.8046,2.1240
78,0.9461,0.0774,1.0000,9.7387,1.8762,2.1313
79,0.9486,0.0709,1.0000,9.7714,1.7222,2.1290
80,0.9530,0.0606,1.0000,9.7593,1.7600,2.1222
81,0.9548,0.0550,1.0000,9.7901,1.5674,2.1401
82,0.9551,0.0560,1.0000,9.8001,1.5417,2.1375
83,0.9556,0.0545,1.0000,9.8032,1.5502,2.1636
84,0.9562,0.0551,1.0000,9.7624,1.6393,2.1651
85,0.9566,0.0519,1.0000,9.7785,1.6096,2.1439
86,0.9556,0.0545,1.0000,9.7638,1.5978,2.1494
87,0.9568,0.0516,1.0000,9.8049,1.5492,2.1395
88,0.9581,0.0485,1.0000,9.7637,1.6188,2.1456
89,0.9593,0.0473,1.0000,9.7716,1.6152,2.1546
90,0.9604,0.0436,1.0000,9.7631,1.6114,2.1549
91,0.9615,0.0393,1.0000,9.7609,1.6075,2.1436
92,0.9629,0.0384,1.0000,9.7603,1.5961,2.1319
93,0.9630,0.0354,1.0000,9.7511,1.5971,2.1648
94,0.9652,0.0291,1.0000,9.7381,1.6622,2.1749
95,0.9649,0.0315,1.0000,9.7402,1.6129,2.1872
96,0.9651,0.0309,1.0000,9.7542,1.5807,2.1883
97,0.9662,0.0306,0.9989,9.7589,1.5799,2.1940
98,0.9660,0.0315,0.9989,9.7360,1.6327,2.1837
99,0.9682,0.0285,0.9998,9.7529,1.6195,2.1826
100,0.9681,0.0301,0.9989,9.7504,1.5766,2.1780
101,0.9678,0.0299,0.9989,9.7568,1.5767,2.1728
102,0.9681,0.0305,1.0000,9.7630,1.5426,2.1746
103,0.9688,0.0284,1.0000,9.7646,1.5791,2.1972
104,0.9689,0.0294,1.0000,9.7274,1.6488,2.2096
105,0.9694,0.0298,1.0000,9.7594,1.5777,2.1977
106,0.9705,0.0267,1.0000,9.7456,1.6150,2.2051
107,0.9696,0.0283,1.0000,9.7496,1.5896,2.1986
108,0.9701,0.0278,1.0000,9.7448,1.6086,2.1812
109,0.9714,0.0260,1.0000,9.7576,1.5715,2.1800
110,0.9718,0.0257,1.0000,9.7662,1.5484,2.1969
111,0.9714,0.0247,1.0000,9.7729,1.5080,2.1943
112,0.9724,0.0222,1.0000,9.7630,1.5607,2.1832
113,0.9723,0.0218,1.0000,9.7521,1.5543,2.1708
114,0.9731,0.0205,1.0000,9.7749,1.5179,2.1815
115,0.9733,0.0203,0.9989,9.7576,1.5529,2.1877
116,0.9732,0.0188,0.9989,9.7689,1.5148,2.1757
117,0.9735,0.0195,0.9989,9.7791,1.4734,2.1774
118,0.9736,0.0177,0.9989,9.7750,1.4934,2.1783
119,0.9744,0.0162,0.9976,9.7777,1.4921,2.1746
120,0.9742,0.0167,0.9976,9.7904,1.4279,2.1837
121,0.9747,0.0163,0.9976,9.7770,1.4906,2.1860
122,0.9745,0.0162,0.9976,9.7712,1.4895,2.1897
123,0.9752,0.0145,1.0000,9.7625,1.5291,2.1886
124,0.9752,0.0146,0.9976,9.7681,1.5089,2.1832
125,0.9752,0.0151,0.9976,9.7509,1.5671,2.1886
126,0.9750,0.0149,0.9983,9.7227,1.6408,2.1628
127,0.9748,0.0140,0.9976,9.7241,1.6414,2.1503
128,0.9748,0.0139,0.9976,9.7306,1.6231,2.1544
129,0.9744,0.0141,0.9976,9.7300,1.6233,2.1383
130,0.9747,0.0129,1.0000,9.7178,1.6592,2.1254
131,0.9750,0.0125,1.0000,9.7493,1.5665,2.1095
132,0.9753,0.0122,1.0000,9.7715,1.5086,2.1225
133,0.9751,0.0124,1.0000,9.7602,1.5274,2.1372
134,0.9749,0.0125,1.0000,9.7877,1.4475,2.1219
135,0.9749,0.0124,1.0000,9.8069,1.3844,2.1298
136,0.9752,0.0123,1.0000,9.8003,1.4057,2.1228
137,0.9756,0.0108,1.0000,9.8135,1.3626,2.1222
138,0.9758,0.0105,1.0000,9.8450,1.2467,2.1134
139,0.9759,0.0102,1.0000,9.8132,1.3618,2.1027
140,0.9759,0.0101,1.0000,9.8243,1.3166,2.0854
141,0.9758,0.0102,1.0000,9.8124,1.3617,2.0964
142,0.9759,0.0100,1.0000,9.7932,1.4263,2.1116
143,0.9760,0.0100,1.0000,9.7696,1.5076,2.1068
144,0.9760,0.0099,1.0000,9.7633,1.5270,2.1154
145,0.9761,0.0098,1.0000,9.7507,1.5652,2.1125
146,0.9764,0.0096,1.0000,9.7689,1.5072,2.1204
147,0.9764,0.0095,1.0000,9.7628,1.5267,2.1251
148,0.9766,0.0093,1.0000,9.7827,1.4671,2.1151
149,0.9766,0.0091,1.0000,9.7810,1.4666,2.1045
150,0.9768,0.0089,1.0000,9.7817,1.4665,2.1015
151,0.9770,0.0088,1.0000,9.7885,1.4459,2.1136
152,0.9770,0.0087,1.0000,9.7821,1.4666,2.1125
153,0.9769,0.0087,1.0000,9.7759,1.4868,2.1219
154,0.9773,0.0084,1.0000,9.7690,1.5063,2.1287
155,0.9770,0.0087,1.0000,9.7823,1.4662,2.1375
156,0.9772,0.0082,1.0000,9.7933,1.4248,2.1354
157,0.9771,0.0085,1.0000,9.7686,1.5060,2.1301
158,0.9771,0.0084,1.0000,9.7692,1.5062,2.1380
159,0.9770,0.0086,0.9949,9.7688,1.5060,2.1465
160,0.9769,0.0087,0.9949,9.7814,1.4661,2.1474
161,0.9769,0.0087,0.9949,9.7743,1.4865,2.1293
162,0.9771,0.0087,0.9963,9.7948,1.4249,2.1345
163,0.9770,0.0087,0.9963,9.8249,1.3149,2.1395
164,0.9771,0.0087,0.9963,9.8316,1.2921,2.1596
165,0.9770,0.0086,0.9963,9.8060,1.3820,2.1541
166,0.9767,0.0090,0.9932,9.8039,1.3819,2.1604
167,0.9770,0.0089,0.9932,9.7815,1.4666,2.1604
168,0.9773,0.0087,0.9932,9.7864,1.4457,2.1383
169,0.9774,0.0089,0.9932,9.8142,1.3606,2.1319
170,0.9775,0.0088,0.9930,9.8132,1.3606,2.1378
171,0.9775,0.0088,0.9930,9.8064,1.3823,2.1310
172,0.9773,0.0092,0.9958,9.8118,1.3602,2.1468
173,0.9774,0.0091,0.9958,9.7820,1.4665,2.1360
174,0.9776,0.0088,0.9958,9.7828,1.4666,2.1372
175,0.9777,0.0086,0.9958,9.7878,1.4456,2.1372
176,0.9781,0.0083,0.9958,9.7956,1.4249,2.1372
177,0.9778,0.0084,0.9958,9.7971,1.4029,2.1354
178,0.9780,0.0083,0.9958,9.7949,1.4246,2.1401
179,0.9782,0.0082,0.9991,9.7875,1.4452,2.1430
180,0.9781,0.0084,0.9991,9.8123,1.3597,2.1485
181,0.9784,0.0082,0.9991,9.7955,1.4247,2.1544
182,0.9782,0.0082,0.9960,9.7928,1.4243,2.1633
183,0.9784,0.0080,0.9960,9.7868,1.4452,2.1477
184,0.9786,0.0080,0.9960,9.7691,1.5059,2.1561
185,0.9787,0.0080,0.9960,9.7521,1.5644,2.1500
186,0.9787,0.0080,0.9958,9.7745,1.4861,2.1506
187,0.9784,0.0083,0.9958,9.7857,1.4450,2.1328
188,0.9785,0.0086,0.9958,9.7942,1.4248,2.1266
189,0.9788,0.0082,0.9958,9.7883,1.4457,2.1175
190,0.9790,0.0077,0.9963,9.8051,1.3815,2.1089
191,0.9787,0.0078,0.9958,9.8192,1.3372,2.0937
192,0.9788,0.0078,0.9958,9.8068,1.3815,2.0931
193,0.9788,0.0076,0.9958,9.7881,1.4451,2.0845
194,0.9786,0.0078,0.9982,9.7994,1.4025,2.0797
195,0.9784,0.0079,0.9982,9.7868,1.4449,2.0815
196,0.9786,0.0079,0.9982,9.7872,1.4451,2.0782
197,0.9785,0.0080,0.9982,9.7885,1.4450,2.0764
198,0.9784,0.0081,0.9982,9.7862,1.4449,2.0955
199,0.9784,0.0082,0.9982,9.7934,1.4243,2.0982
200,0.9783,0.0081,0.9999,9.7867,1.4454,2.0943
201,0.9786,0.0079,0.9999,9.8011,1.4034,2.1113
202,0.9787,0.0077,0.9999,9.7945,1.4243,2.1110
203,0.9788,0.0080,0.9999,9.8116,1.3595,2.0952
204,0.9789,0.0079,0.9999,9.8139,1.3598,2.1042
205,0.9791,0.0077,0.9999,9.8184,1.3374,2.0991
206,0.9792,0.0077,0.9999,9.8178,1.3370,2.0863
207,0.9792,0.0080,0.9999,9.8197,1.3374,2.0919
208,0.9792,0.0082,0.9999,9.8111,1.3595,2.0931
209,0.9794,0.0086,0.9999,9.8212,1.3380,2.0866
210,0.9795,0.0085,0.9999,9.8239,1.3151,2.0908
211,0.9793,0.0087,0.9999,9.8323,1.2921,2.1071
212,0.9793,0.0082,1.0000,9.8259,1.3154,2.0967
213,0.9789,0.0088,1.0000,9.8294,1.2918,2.0794
214,0.9790,0.0088,1.0000,9.8320,1.2923,2.0812
215,0.9793,0.0088,1.0000,9.8250,1.3154,2.0818
216,0.9795,0.0083,1.0000,9.8245,1.3151,2.0905
217,0.9796,0.0084,1.0000,9.8216,1.3379,2.0800
218,0.9794,0.0083,1.0000,9.8161,1.3372,2.0788
219,0.9793,0.0083,1.0000,9.8145,1.3599,2.0878
220,0.9791,0.0084,1.0000,9.8173,1.3373,2.0887
221,0.9790,0.0084,1.0000,9.8145,1.3604,2.0958
222,0.9786,0.0083,1.0000,9.8169,1.3375,2.1107
223,0.9790,0.0080,1.0000,9.8208,1.3376,2.0833
224,0.9791,0.0080,1.0000,9.8059,1.3814,2.0721
225,0.9793,0.0080,1.0000,9.7823,1.4658,2.0758
226,0.9793,0.0079,1.0000,9.7694,1.5060,2.0931
227,0.9794,0.0077,1.0000,9.7691,1.5057,2.1009
228,0.9796,0.0077,1.0000,9.7745,1.4857,2.0791
229,0.9797,0.0076,1.0000,9.7824,1.4656,2.0854
230,0.9797,0.0077,1.0000,9.7941,1.4241,2.0700
231,0.9796,0.0076,1.0000,9.7998,1.4027,2.0742
232,0.9793,0.0079,1.0000,9.8175,1.3366,2.0745
233,0.9793,0.0078,1.0000,9.8069,1.3814,2.0709
234,0.9793,0.0080,1.0000,9.8127,1.3594,2.0779
235,0.9793,0.0080,1.0000,9.8376,1.2677,2.0773
236,0.9793,0.0081,1.0000,9.8181,1.3372,2.0773
237,0.9792,0.0082,1.0000,9.8321,1.2915,2.0934
238,0.9789,0.0082,1.0000,9.8172,1.3374,2.0979
239,0.9792,0.0081,1.0000,9.8178,1.3371,2.0905
240,0.9791,0.0082,1.0000,9.8054,1.3814,2.0893
241,0.9792,0.0083,1.0000,9.8139,1.3600,2.0946
242,0.9796,0.0081,1.0000,9.8121,1.3598,2.0919
243,0.9795,0.0084,1.0000,9.8193,1.3376,2.0982
244,0.9797,0.0084,1.0000,9.8121,1.3598,2.0925
245,0.9798,0.0085,1.0000,9.8246,1.3148,2.0955
246,0.9802,0.0083,1.0000,9.8323,1.2919,2.0809
247,0.9802,0.0083,1.0000,9.8386,1.2680,2.0800
248,0.9800,0.0084,1.0000,9.8426,1.2439,2.0739
249,0.9804,0.0083,1.0000,9.8438,1.2441,2.0718
250,0.9805,0.0084,1.0000,9.8430,1.2437,2.0899
251,0.9809,0.0080,1.0000,9.8446,1.2440,2.0637
252,0.9809,0.0079,1.0000,9.8247,1.3145,2.0739
253,0.9808,0.0078,1.0000,9.8130,1.3596,2.0893
254,0.9808,0.0077,1.0000,9.7991,1.4026,2.0902
255,0.9808,0.0075,1.0000,9.8059,1.3811,2.0917
256,0.9808,0.0075,1.0000,9.7991,1.4027,2.0869
257,0.9809,0.0075,1.0000,9.8200,1.3370,2.0890
258,0.9808,0.0075,1.0000,9.8180,1.3367,2.0827
259,0.9808,0.0075,1.0000,9.8190,1.3368,2.0773
260,0.9811,0.0072,1.0000,9.8194,1.3370,2.0854
261,0.9809,0.0073,1.0000,9.8173,1.3365,2.0785
262,0.9811,0.0072,1.0000,9.8450,1.2433,2.0830
263,0.9810,0.0070,1.0000,9.8427,1.2429,2.0661
264,0.9810,0.0070,1.0000,9.8454,1.2431,2.0752
265,0.9808,0.0070,1.0000,9.8544,1.1928,2.0709
266,0.9811,0.0072,1.0000,9.8702,1.1411,2.0688
267,0.9812,0.0072,1.0000,9.8690,1.1410,2.0833
268,0.9811,0.0073,1.0000,9.8615,1.1674,2.0709
269,0.9814,0.0070,1.0000,9.8762,1.1143,2.0785
270,0.9814,0.0068,1.0000,9.8557,1.1930,2.0809
271,0.9817,0.0069,1.0000,9.8508,1.2182,2.0709
272,0.9818,0.0072,1.0000,9.8502,1.2183,2.0634
273,0.9819,0.0072,1.0000,9.8499,1.2184,2.0694
274,0.9823,0.0075,1.0000,9.8499,1.2183,2.0791
275,0.9824,0.0075,1.0000,9.8571,1.1936,2.0815
276,0.9825,0.0074,1.0000,9.8710,1.1417,2.0718
277,0.9824,0.0074,1.0000,9.8622,1.1677,2.0709
278,0.9822,0.0073,1.0000,9.8569,1.1936,2.0628
279,0.9820,0.0073,1.0000,9.8691,1.1411,2.0570
280,0.9821,0.0072,1.0000,9.8555,1.1931,2.0691
281,0.9821,0.0071,1.0000,9.8694,1.1411,2.0706
282,0.9822,0.0072,1.0000,9.8691,1.1410,2.0755
283,0.9820,0.0073,1.0000,9.8807,1.0865,2.0758
284,0.9822,0.0074,1.0000,9.8826,1.0868,2.0794
285,0.9822,0.0077,1.0000,9.8747,1.1146,2.0736
286,0.9826,0.0078,1.0000,9.8638,1.1682,2.0631
287,0.9825,0.0078,1.0000,9.8566,1.1939,2.0576
288,0.9825,0.0078,1.0000,9.8557,1.1938,2.0652
289,0.9824,0.0079,1.0000,9.8496,1.2191,2.0670
290,0.9822,0.0079,1.0000,9.8443,1.2438,2.0691
291,0.9820,0.0080,1.0000,9.8490,1.2190,2.0715
292,0.9821,0.0078,1.0000,9.8552,1.1938,2.0631
293,0.9823,0.0079,1.0000,9.8575,1.1939,2.0646
294,0.9823,0.0081,1.0000,9.8367,1.2677,2.0561
295,0.9823,0.0083,1.0000,9.8442,1.2442,2.0561
296,0.9829,0.0087,1.0000,9.8699,1.1424,2.0594
297,0.9832,0.0086,1.0000,9.8756,1.1157,2.0588
298,0.9830,0.0086,1.0000,9.8629,1.1691,2.0451
299,0.9830,0.0087,1.0000,9.8633,1.1689,2.0530
300,0.9830,0.0086,1.0000,9.8736,1.1154,2.0365
301,0.9829,0.0086,1.0000,9.8891,1.0597,2.0285
302,0.9828,0.0086,1.0000,9.8743,1.1156,2.0325
303,0.9831,0.0087,1.0000,9.8908,1.0596,2.0199
304,0.9830,0.0088,1.0000,9.8982,0.9997,2.0362
305,0.9832,0.0087,1.0000,9.8756,1.1160,2.0365
306,0.9833,0.0085,1.0000,9.8751,1.1158,2.0350
307,0.9834,0.0084,1.0000,9.8744,1.1156,2.0418
308,0.9833,0.0086,1.0000,9.8568,1.1947,2.0365
309,0.9834,0.0086,1.0000,9.8377,1.2686,2.0500
310,0.9836,0.0088,1.0000,9.8442,1.2444,2.0576
311,0.9840,0.0088,1.0000,9.8301,1.2920,2.0491
312,0.9841,0.0088,1.0000,9.8144,1.3606,2.0491
313,0.9842,0.0087,1.0000,9.8200,1.3381,2.0375
314,0.9841,0.0083,1.0000,9.8062,1.3819,2.0285
315,0.9842,0.0084,1.0000,9.8198,1.3378,2.0405
316,0.9844,0.0082,1.0000,9.8255,1.3151,2.0500
317,0.9846,0.0083,1.0000,9.8295,1.2915,2.0588
318,0.9848,0.0082,1.0000,9.8534,1.2199,2.0573
319,0.9848,0.0083,1.0000,9.8429,1.2438,2.0625
320,0.9848,0.0082,1.0000,9.8323,1.2918,2.0622
321,0.9845,0.0081,1.0000,9.8286,1.2912,2.0597
322,0.9846,0.0081,1.0000,9.8446,1.2439,2.0591
323,0.9847,0.0084,1.0000,9.8311,1.2915,2.0515
324,0.9848,0.0085,1.0000,9.8508,1.2195,2.0534
325,0.9851,0.0087,1.0000,9.8310,1.2920,2.0518
326,0.9849,0.0086,1.0000,9.8190,1.3380,2.0359
327,0.9849,0.0086,1.0000,9.8319,1.2920,2.0482
328,0.9846,0.0086,1.0000,9.8310,1.2919,2.0445
329,0.9846,0.0087,1.0000,9.8309,1.2917,2.0466
330,0.9851,0.0086,1.0000,9.8264,1.3152,2.0421
331,0.9852,0.0087,1.0000,9.8250,1.3150,2.0679
332,0.9854,0.0085,1.0000,9.8256,1.3151,2.0806
333,0.9854,0.0087,1.0000,9.8185,1.3377,2.0521
334,0.9856,0.0086,1.0000,9.8304,1.2917,2.0469
335,0.9854,0.0091,1.0000,9.8373,1.2683,2.0625
336,0.9852,0.0093,1.0000,9.8487,1.2200,2.0600
337,0.9853,0.0094,1.0000,9.8454,1.2449,2.0582
338,0.9851,0.0095,1.0000,9.8442,1.2452,2.0540
339,0.9849,0.0098,1.0000,9.8316,1.2928,2.0628
340,0.9847,0.0095,1.0000,9.8313,1.2930,2.0688
341,0.9846,0.0096,1.0000,9.8113,1.3610,2.0709
342,0.9842,0.0098,1.0000,9.8237,1.3162,2.0718
343,0.9841,0.0098,1.0000,9.8330,1.2935,2.0497
344,0.9843,0.0098,1.0000,9.8295,1.2931,2.0402
345,0.9846,0.0095,1.0000,9.8514,1.2211,2.0375
346,0.9843,0.0098,1.0000,9.8626,1.1699,2.0540
347,0.9843,0.0096,1.0000,9.8430,1.2454,2.0463
348,0.9843,0.0098,1.0000,9.8295,1.2926,2.0341
349,0.9843,0.0098,1.0000,9.8616,1.1697,2.0402
350,0.9847,0.0096,1.0000,9.8437,1.2454,2.0252
351,0.9851,0.0093,1.0000,9.8455,1.2452,2.0184
352,0.9847,0.0097,1.0000,9.8548,1.1950,2.0184
353,0.9850,0.0097,1.0000,9.8769,1.1168,2.0218
354,0.9852,0.0099,1.0000,9.8799,1.0890,2.0252
355,0.9855,0.0096,1.0000,9.8961,1.0317,2.0233
356,0.9856,0.0095,1.0000,9.8869,1.0603,2.0292
357,0.9856,0.0097,1.0000,9.8957,1.0311,2.0482
358,0.9858,0.0097,1.0000,9.8932,1.0314,2.0676
359,0.9857,0.0097,1.0000,9.8642,1.1701,2.0715
360,0.9854,0.0097,1.0000,9.8474,1.2205,2.0700
361,0.9856,0.0096,1.0000,9.8515,1.2211,2.0688
362,0.9855,0.0097,1.0000,9.8427,1.2451,2.0652
363,0.9857,0.0094,1.0000,9.8574,1.1957,2.0691
364,0.9860,0.0093,1.0000,9.8433,1.2451,2.0609
365,0.9864,0.0090,1.0000,9.8464,1.2451,2.0530
366,0.9862,0.0089,1.0000,9.8558,1.1950,2.0612
367,0.9861,0.0089,1.0000,9.8365,1.2688,2.0558
368,0.9862,0.0087,1.0000,9.8365,1.2686,2.0600
369,0.9862,0.0089,1.0000,9.8505,1.2200,2.0664
370,0.9861,0.0090,1.0000,9.8365,1.2689,2.0628
371,0.9865,0.0090,1.0000,9.8571,1.1955,2.0694
372,0.9868,0.0088,1.0000,9.8505,1.2200,2.0851
373,0.9868,0.0090,1.0000,9.8301,1.2921,2.1009
374,0.9870,0.0088,1.0000,9.8435,1.2447,2.1068
375,0.9870,0.0087,1.0000,9.8496,1.2199,2.1122
376,0.9869,0.0087,1.0000,9.8364,1.2680,2.1122
377,0.9871,0.0086,1.0000,9.8130,1.3603,2.1166
378,0.9871,0.0084,1.0000,9.8070,1.3821,2.0899
379,0.9872,0.0082,1.0000,9.8371,1.2681,2.0758
380,0.9874,0.0081,1.0000,9.8376,1.2679,2.0860
381,0.9877,0.0081,1.0000,9.8450,1.2438,2.0824
382,0.9877,0.0082,1.0000,9.8564,1.1939,2.0839
383,0.9879,0.0080,1.0000,9.8633,1.1683,2.1110
384,0.9876,0.0082,1.0000,9.8684,1.1419,2.1077
385,0.9875,0.0081,1.0000,9.8747,1.1150,2.1077
386,0.9877,0.0084,1.0000,9.8867,1.0590,2.0866
387,0.9877,0.0081,1.0000,9.8995,1.0000,2.0991
388,0.9877,0.0084,1.0000,9.8798,1.0873,2.0818
389,0.9878,0.0081,1.0000,9.8621,1.1685,2.0911
390,0.9880,0.0080,1.0000,9.8319,1.2916,2.1045
391,0.9880,0.0078,1.0000,9.8309,1.2915,2.1116
392,0.9880,0.0076,1.0000,9.8253,1.3144,2.1080
393,0.9883,0.0077,1.0000,9.8185,1.3369,2.1119
394,0.9886,0.0076,1.0000,9.8324,1.2912,2.1095
395,0.9885,0.0076,1.0000,9.8364,1.2673,2.0973
396,0.9887,0.0075,1.0000,9.8639,1.1682,2.0779
397,0.9887,0.0074,1.0000,9.8563,1.1935,2.0721
398,0.9889,0.0076,1.0000,9.8490,1.2186,2.0824
399,0.9889,0.0074,1.0000,9.8578,1.1938,2.0742
400,0.9888,0.0073,1.0000,9.8426,1.2432,2.0791
401,0.9889,0.0073,1.0000,9.8557,1.1931,2.0625
402,0.9889,0.0074,1.0000,9.8638,1.1679,2.0573
403,0.9889,0.0073,1.0000,9.8615,1.1677,2.0543
404,0.9891,0.0073,1.0000,9.8636,1.1678,2.0588
405,0.9887,0.0074,1.0000,9.8455,1.2182,2.0488
406,0.9887,0.0073,1.0000,9.8389,1.2674,2.0476
407,0.9884,0.0073,1.0000,9.8488,1.2185,2.0612
408,0.9885,0.0076,1.0000,9.8446,1.2433,2.0573
409,0.9888,0.0074,1.0000,9.8560,1.1936,2.0488
410,0.9888,0.0073,1.0000,9.8514,1.2188,2.0555
411,0.9890,0.0074,1.0000,9.8447,1.2434,2.0552
412,0.9889,0.0073,1.0000,9.8303,1.2909,2.0476
413,0.9890,0.0074,1.0000,9.8315,1.2909,2.0368
414,0.9892,0.0072,1.0000,9.8317,1.2910,2.0378
415,0.9893,0.0074,1.0000,9.8304,1.2907,2.0285
416,0.9895,0.0074,1.0000,9.8385,1.2674,2.0335
417,0.9895,0.0072,1.0000,9.8506,1.2187,2.0451
418,0.9896,0.0072,1.0000,9.8554,1.1931,2.0350
419,0.9897,0.0072,1.0000,9.8627,1.1676,2.0230
420,0.9898,0.0072,1.0000,9.8573,1.1934,2.0106
421,0.9897,0.0072,1.0000,9.8690,1.1410,2.0205
422,0.9896,0.0074,1.0000,9.8681,1.1412,2.0319
423,0.9896,0.0071,1.0000,9.8448,1.2432,2.0292
424,0.9897,0.0073,1.0000,9.8820,1.0866,2.0193
425,0.9899,0.0075,1.0000,9.8745,1.1141,2.0279
426,0.9901,0.0074,1.0000,9.8691,1.1415,2.0211
427,0.9901,0.0073,1.0000,9.8487,1.2184,2.0208
428,0.9905,0.0074,1.0000,9.8447,1.2433,2.0205
429,0.9903,0.0075,1.0000,9.8625,1.1676,2.0310
430,0.9907,0.0076,1.0000,9.8642,1.1681,2.0448
431,0.9908,0.0076,1.0000,9.8556,1.1938,2.0527
432,0.9911,0.0076,1.0000,9.8443,1.2436,2.0628
433,0.9909,0.0075,1.0000,9.8370,1.2674,2.0622
434,0.9908,0.0075,1.0000,9.8303,1.2908,2.0872
