gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
0,0.4864,0.2873,0.9999,0.0000,0.0000,0.0000
1,0.4841,0.2896,0.9999,10.0000,3.1875,0.6134
2,0.4932,0.2895,0.9992,10.0012,3.3010,0.8566
3,0.5130,0.2885,1.0000,9.9810,3.3545,1.0112
4,0.5175,0.2855,1.0000,9.9594,3.3876,1.1424
5,0.5257,0.2827,0.9950,9.9877,3.3323,1.2440
6,0.5359,0.2851,0.9950,9.9360,3.4801,1.3711
7,0.5430,0.2895,0.9950,9.9575,3.4131,1.4697
8,0.5505,0.2889,0.9950,9.9272,3.3829,1.5273
9,0.5625,0.2862,0.9950,9.9606,3.4585,1.6027
10,0.5781,0.2880,0.9950,9.9523,3.4939,1.6557
11,0.5941,0.2872,0.9936,9.9871,3.4260,1.7081
12,0.5980,0.2837,0.9936,9.9030,3.4911,1.7479
13,0.6010,0.2846,0.9936,9.9758,3.5032,1.7906
14,0.6090,0.2813,0.9936,9.9180,3.4749,1.8381
15,0.6141,0.2746,0.9936,9.8963,3.4909,1.8217
16,0.6280,0.2662,0.9936,9.9132,3.3010,1.8087
17,0.6415,0.2666,0.9936,9.9554,3.2889,1.8252
18,0.6475,0.2635,0.9936,9.9099,3.3339,1.8317
19,0.6641,0.2557,0.9936,9.9354,3.2446,1.8500
20,0.6731,0.2574,0.9956,9.8939,3.1636,1.8493
21,0.6811,0.2507,0.9956,9.8799,3.2276,1.8914
22,0.6904,0.2537,0.9956,9.9105,3.0938,1.9046
23,0.6970,0.2541,0.9956,9.8700,3.1007,1.9209
24,0.7055,0.2472,0.9956,9.8847,3.1506,1.9413
25,0.7201,0.2439,0.9956,9.9033,2.9739,1.9452
26,0.7302,0.2400,0.9956,9.8499,3.0419,1.9783
27,0.7350,0.2385,0.9936,9.8375,3.0856,1.9862
28,0.7549,0.2283,0.9936,9.9061,3.0425,1.9745
29,0.7581,0.2238,0.9936,9.8522,2.9217,1.9827
30,0.7676,0.2135,0.9936,9.8595,2.8085,1.9666
31,0.7717,0.2157,0.9936,9.8861,2.7299,1.9647
32,0.7743,0.2197,0.9936,9.8415,2.7664,1.9602
33,0.7767,0.2173,0.9936,9.8446,2.7657,1.9570
34,0.7761,0.2202,0.9936,9.8521,2.7569,1.9510
35,0.7809,0.2137,0.9952,9.8533,2.7667,1.9474
36,0.7876,0.2128,0.9936,9.8806,2.7956,1.9695
37,0.8023,0.2035,0.9936,9.8327,2.8017,1.9884
38,0.8031,0.2083,0.9965,9.7900,2.7253,1.9720
39,0.8071,0.2071,0.9965,9.8066,2.7596,1.9519
40,0.8109,0.2051,0.9965,9.7936,2.6948,1.9733
41,0.8221,0.1926,0.9947,9.8498,2.7081,1.9821
42,0.8279,0.1897,0.9947,9.8278,2.6277,1.9846
43,0.8277,0.1961,0.9947,9.7914,2.6424,1.9736
44,0.8378,0.1927,0.9947,9.8357,2.7171,1.9590
45,0.8351,0.1955,0.9936,9.7739,2.6363,1.9827
46,0.8431,0.1894,0.9936,9.8098,2.6594,1.9856
47,0.8462,0.1861,0.9936,9.7561,2.6351,1.9906
48,0.8480,0.1884,0.9936,9.7818,2.5368,1.9887
49,0.8523,0.1821,0.9936,9.7339,2.6154,1.9564
50,0.8620,0.1720,0.9936,9.8296,2.3532,1.9783
