p,mean p omega,u,deg
0.0029,0.0024,9.9921,5.0000
0.0029,0.0008,10.0187,4.0000
0.0003,0.0003,10.0000,1.0000
0.0035,0.0039,10.0046,3.0000
0.0097,0.0014,9.9245,3.0000
0.0043,0.0030,10.0244,5.0000
0.0013,0.0026,10.0415,8.0000
0.0036,0.0014,10.0362,4.0000
0.0000,0.0015,10.0179,4.0000
0.0014,0.0019,9.9977,6.0000
0.0000,0.0007,10.0218,4.0000
0.0035,NaN,0.0000,0.0000
0.0000,0.0031,10.0108,6.0000
0.0014,0.0041,9.9863,6.0000
0.0097,0.0044,9.9317,6.0000
0.0000,0.0018,10.0486,2.0000
0.0036,0.0041,10.0151,7.0000
0.0000,0.0013,10.0310,6.0000
0.0035,0.0031,10.0169,3.0000
0.0036,0.0047,9.9433,3.0000
0.0014,0.0022,9.9971,2.0000
0.0000,0.0027,9.9967,5.0000
0.0029,0.0018,9.9971,5.0000
0.0029,0.0043,10.0224,7.0000
0.0027,0.0038,9.9871,8.0000
0.0006,0.0006,10.0352,3.0000
0.0003,0.0011,10.0082,6.0000
0.0097,0.0032,9.9880,6.0000
0.0035,0.0031,9.9950,2.0000
0.0000,0.0047,10.0409,4.0000
0.0006,0.0027,10.0042,2.0000
0.0014,0.0028,10.0166,4.0000
0.0036,0.0029,10.0106,2.0000
0.0053,0.0053,9.9466,1.0000
0.0000,0.0014,9.9885,5.0000
0.0067,0.0024,10.0090,6.0000
0.0061,0.0019,10.0121,5.0000
0.0036,0.0021,9.9788,3.0000
0.0029,0.0057,10.0058,3.0000
0.0004,0.0032,9.9845,3.0000
0.0000,0.0000,10.0289,1.0000
0.0035,0.0035,9.9948,8.0000
0.0014,0.0035,9.9885,1.0000
0.0053,0.0038,9.9832,3.0000
0.0047,0.0022,9.9957,3.0000
0.0035,0.0050,9.9188,5.0000
0.0029,0.0035,10.0022,6.0000
0.0004,0.0000,10.0000,1.0000
0.0000,0.0026,10.0041,4.0000
0.0000,0.0018,10.0176,2.0000
0.0022,0.0037,10.0101,5.0000
0.0000,0.0021,10.0400,4.0000
0.0035,0.0025,9.9712,2.0000
0.0035,0.0025,9.9880,6.0000
0.0108,0.0070,9.9175,5.0000
0.0004,0.0015,10.0035,4.0000
0.0073,0.0039,10.0219,6.0000
0.0035,0.0021,9.9564,4.0000
0.0036,0.0036,10.0000,1.0000
0.0004,0.0019,9.9798,4.0000
0.0035,0.0035,9.9799,1.0000
0.0000,0.0031,9.9833,3.0000
0.0006,0.0027,10.0102,3.0000
0.0006,0.0013,10.0068,6.0000
0.0080,0.0042,9.9957,6.0000
0.0035,0.0055,10.0106,4.0000
0.0004,0.0022,9.9498,6.0000
0.0053,0.0041,10.0428,5.0000
0.0051,0.0018,10.0191,3.0000
0.0047,0.0014,9.9913,5.0000
0.0067,0.0040,9.9934,2.0000
0.0000,0.0012,10.0025,4.0000
0.0022,0.0029,10.0313,6.0000
0.0025,0.0015,10.0217,4.0000
0.0000,0.0035,9.9836,9.0000
0.0036,0.0028,10.0247,2.0000
0.0000,0.0014,10.0000,1.0000
0.0028,0.0014,9.9928,3.0000
0.0000,0.0009,10.0045,5.0000
0.0035,0.0041,9.9591,8.0000
0.0014,0.0033,10.0208,6.0000
0.0014,0.0033,10.0158,5.0000
0.0053,0.0018,10.0233,7.0000
0.0014,0.0003,9.9856,1.0000
0.0038,0.0018,9.9873,4.0000
0.0014,0.0014,10.0196,2.0000
0.0036,0.0013,9.9675,6.0000
0.0027,0.0047,10.0274,1.0000
0.0000,0.0007,10.0191,2.0000
0.0053,0.0018,9.9822,3.0000
0.0000,0.0039,10.0073,8.0000
0.0004,0.0010,9.9806,8.0000
0.0035,0.0035,9.9690,1.0000
0.0027,0.0036,9.9789,3.0000
0.0016,0.0017,9.9923,6.0000
0.0000,0.0064,9.9867,3.0000
0.0028,0.0041,10.0000,2.0000
0.0000,0.0024,10.0408,7.0000
0.0053,0.0041,9.9894,3.0000
0.0000,0.0015,10.0137,6.0000
0.0080,0.0048,9.9458,5.0000
0.0036,0.0024,10.0181,4.0000
0.0067,0.0034,9.9505,4.0000
0.0035,0.0045,9.9759,3.0000
0.0003,0.0007,10.0089,4.0000
0.0014,0.0029,10.0011,3.0000
0.0004,0.0030,9.9803,6.0000
0.0036,0.0034,9.9619,4.0000
0.0014,0.0042,9.9735,5.0000
0.0000,0.0045,10.0096,3.0000
0.0119,0.0084,9.9416,3.0000
0.0035,0.0030,9.9723,3.0000
0.0000,0.0025,9.9994,7.0000
0.0134,0.0134,10.0000,2.0000
0.0004,0.0021,9.9947,7.0000
0.0000,0.0012,9.9854,3.0000
0.0053,0.0010,10.0507,6.0000
0.0018,0.0021,10.0286,8.0000
0.0035,0.0026,10.0280,2.0000
0.0000,0.0014,10.0000,2.0000
0.0035,0.0022,10.0079,5.0000
0.0035,0.0026,10.0127,3.0000
0.0029,0.0024,9.9939,5.0000
0.0036,0.0041,10.0090,4.0000
0.0036,0.0012,10.0121,4.0000
0.0134,0.0024,10.0235,4.0000
0.0004,0.0002,10.0004,2.0000
0.0119,0.0024,10.0287,3.0000
0.0000,0.0060,9.9157,2.0000
0.0028,0.0038,9.9940,4.0000
0.0036,0.0016,10.0392,2.0000
0.0029,0.0039,9.9833,5.0000
0.0051,0.0025,10.0117,6.0000
0.0000,0.0019,9.9955,5.0000
0.0097,0.0015,10.0374,4.0000
0.0025,0.0001,10.0150,7.0000
0.0047,0.0025,10.0154,3.0000
0.0080,0.0031,10.0030,4.0000
0.0036,0.0018,10.0093,2.0000
0.0119,0.0032,10.0325,6.0000
0.0035,0.0017,9.9380,3.0000
0.0053,0.0017,10.0266,2.0000
0.0053,0.0027,9.8879,3.0000
0.0036,0.0019,10.0152,5.0000
0.0035,0.0028,10.0375,3.0000
0.0032,0.0062,9.9029,3.0000
0.0107,0.0045,9.9193,6.0000
0.0000,0.0006,10.0279,5.0000
0.0032,0.0033,9.9772,4.0000
0.0027,0.0021,9.9985,4.0000
0.0000,0.0027,9.9947,7.0000
0.0004,0.0000,10.0049,4.0000
0.0032,0.0016,9.9817,2.0000
0.0000,0.0025,9.9774,2.0000
0.0000,0.0022,9.9634,4.0000
0.0159,0.0159,9.9385,2.0000
0.0080,0.0023,10.0288,3.0000
0.0047,0.0020,9.9972,5.0000
0.0014,NaN,0.0000,0.0000
0.0029,0.0029,10.0036,2.0000
0.0003,0.0043,10.0198,3.0000
0.0035,0.0033,10.0075,9.0000
0.0035,0.0032,10.0156,2.0000
0.0053,0.0028,10.0250,1.0000
0.0053,0.0036,9.9486,3.0000
0.0036,0.0084,10.0153,2.0000
0.0029,0.0033,10.0037,2.0000
0.0000,0.0045,9.9928,2.0000
0.0036,0.0034,9.9847,4.0000
0.0000,0.0045,9.9886,2.0000
0.0000,0.0059,10.0089,3.0000
0.0035,0.0030,10.0298,2.0000
0.0004,0.0011,10.0015,3.0000
0.0029,0.0024,10.0008,4.0000
0.0035,0.0019,9.9870,4.0000
0.0000,0.0036,9.9860,5.0000
0.0004,0.0022,10.0099,4.0000
0.0000,0.0039,10.0294,6.0000
0.0034,0.0026,10.0224,3.0000
0.0035,0.0014,9.9731,3.0000
0.0022,0.0030,10.0256,3.0000
0.0006,0.0005,9.9391,5.0000
0.0035,0.0012,10.0014,3.0000
0.0027,0.0033,10.0019,5.0000
0.0035,0.0035,10.0201,2.0000
0.0000,0.0009,10.0041,8.0000
0.0001,0.0023,9.9937,4.0000
0.0000,0.0050,10.0235,2.0000
0.0014,0.0020,10.0048,3.0000
