gen,mean p,sigma p,max p
0,0.5029,0.2842,0.9993
1,0.2030,0.1586,0.9993
2,0.1253,0.1009,0.6726
3,0.0971,0.0830,0.4322
4,0.0829,0.0733,0.4322
5,0.0748,0.0678,0.3364
6,0.0691,0.0634,0.3364
7,0.0635,0.0591,0.3364
8,0.0599,0.0554,0.3364
9,0.0588,0.0525,0.3364
10,0.0557,0.0484,0.3364
11,0.0559,0.0486,0.3364
12,0.0567,0.0488,0.3364
13,0.0595,0.0501,0.3364
14,0.0608,0.0503,0.3364
15,0.0618,0.0524,0.3364
16,0.0636,0.0539,0.3364
17,0.0658,0.0544,0.3364
18,0.0688,0.0568,0.3364
19,0.0709,0.0583,0.3364
20,0.0730,0.0560,0.3364
21,0.0735,0.0551,0.3364
22,0.0728,0.0505,0.3364
23,0.0739,0.0490,0.3364
24,0.0746,0.0489,0.3364
25,0.0762,0.0481,0.3364
26,0.0781,0.0493,0.3364
27,0.0819,0.0531,0.3364
28,0.0839,0.0563,0.3364
29,0.0852,0.0553,0.3364
30,0.0861,0.0527,0.3364
31,0.0860,0.0505,0.3364
32,0.0868,0.0497,0.3364
33,0.0870,0.0493,0.3364
34,0.0862,0.0486,0.3364
35,0.0869,0.0493,0.3364
36,0.0884,0.0510,0.3364
37,0.0909,0.0529,0.3364
38,0.0919,0.0528,0.3364
39,0.0940,0.0540,0.3364
40,0.0952,0.0541,0.3364
41,0.0966,0.0555,0.3364
42,0.0989,0.0559,0.3364
43,0.1005,0.0576,0.3364
44,0.1016,0.0590,0.3364
45,0.1018,0.0598,0.3364
46,0.1027,0.0599,0.3364
47,0.1062,0.0632,0.3364
48,0.1073,0.0632,0.3364
49,0.1090,0.0631,0.3364
50,0.1111,0.0653,0.3364
51,0.1127,0.0667,0.3364
52,0.1140,0.0661,0.3364
53,0.1157,0.0667,0.3364
54,0.1161,0.0665,0.3364
55,0.1170,0.0663,0.3364
56,0.1188,0.0677,0.3364
57,0.1202,0.0691,0.3364
58,0.1212,0.0714,0.3364
59,0.1219,0.0735,0.3364
60,0.1218,0.0744,0.3364
61,0.1206,0.0722,0.3364
62,0.1207,0.0708,0.3364
63,0.1213,0.0708,0.3364
64,0.1219,0.0704,0.3364
65,0.1246,0.0735,0.3364
66,0.1277,0.0770,0.3364
67,0.1309,0.0808,0.3364
68,0.1315,0.0809,0.3364
69,0.1329,0.0819,0.3364
70,0.1354,0.0842,0.3364
71,0.1360,0.0846,0.3364
72,0.1339,0.0810,0.3364
73,0.1358,0.0821,0.3364
74,0.1370,0.0828,0.3364
75,0.1392,0.0848,0.3364
76,0.1440,0.0883,0.3364
77,0.1454,0.0897,0.3364
78,0.1489,0.0924,0.3364
79,0.1492,0.0926,0.3364
80,0.1457,0.0909,0.3364
81,0.1312,0.0824,0.3364
82,0.1181,0.0743,0.3364
83,0.1115,0.0675,0.3364
84,0.1117,0.0675,0.3364
85,0.1120,0.0660,0.3364
86,0.1127,0.0641,0.3364
87,0.1168,0.0663,0.3364
88,0.1185,0.0671,0.3364
89,0.1201,0.0680,0.3364
90,0.1215,0.0695,0.3364
91,0.1238,0.0709,0.3364
92,0.1253,0.0709,0.3364
93,0.1261,0.0704,0.3364
94,0.1268,0.0697,0.3364
95,0.1287,0.0709,0.3364
96,0.1295,0.0702,0.3364
97,0.1293,0.0708,0.3364
98,0.1294,0.0716,0.3364
99,0.1289,0.0706,0.3364
100,0.1292,0.0708,0.3364
101,0.1302,0.0716,0.3364
102,0.1304,0.0714,0.3364
103,0.1309,0.0720,0.3364
104,0.1308,0.0716,0.3364
105,0.1317,0.0718,0.3364
106,0.1334,0.0737,0.3364
107,0.1340,0.0747,0.3364
108,0.1345,0.0749,0.3364
109,0.1358,0.0761,0.3364
110,0.1356,0.0759,0.3364
111,0.1371,0.0773,0.3364
112,0.1386,0.0789,0.3364
113,0.1405,0.0811,0.3364
114,0.1432,0.0836,0.3364
115,0.1455,0.0854,0.3364
116,0.1457,0.0859,0.3364
117,0.1463,0.0864,0.3364
118,0.1462,0.0864,0.3364
119,0.1473,0.0871,0.3364
120,0.1486,0.0885,0.3364
121,0.1510,0.0903,0.3364
122,0.1505,0.0896,0.3364
123,0.1509,0.0897,0.3364
124,0.1531,0.0913,0.3364
125,0.1533,0.0912,0.3364
126,0.1556,0.0929,0.3364
127,0.1537,0.0919,0.3364
128,0.1552,0.0934,0.3364
129,0.1560,0.0937,0.3364
130,0.1586,0.0956,0.3364
131,0.1604,0.0969,0.3364
132,0.1608,0.0972,0.3364
133,0.1615,0.0977,0.3364
134,0.1627,0.0987,0.3364
135,0.1643,0.1000,0.3364
136,0.1663,0.1012,0.3364
137,0.1669,0.1017,0.3364
138,0.1660,0.1012,0.3364
139,0.1680,0.1025,0.3364
140,0.1685,0.1027,0.3364
141,0.1679,0.1023,0.3364
142,0.1689,0.1032,0.3364
143,0.1684,0.1028,0.3364
144,0.1694,0.1038,0.3364
145,0.1700,0.1036,0.3364
146,0.1697,0.1031,0.3364
147,0.1702,0.1033,0.3364
148,0.1707,0.1037,0.3364
149,0.1710,0.1040,0.3364
150,0.1711,0.1038,0.3364
151,0.1734,0.1048,0.3364
152,0.1760,0.1061,0.3364
153,0.1764,0.1064,0.3364
154,0.1768,0.1066,0.3364
155,0.1760,0.1062,0.3364
156,0.1776,0.1072,0.3364
157,0.1778,0.1073,0.3364
158,0.1769,0.1071,0.3364
159,0.1777,0.1074,0.3364
160,0.1784,0.1078,0.3364
161,0.1782,0.1075,0.3364
162,0.1801,0.1083,0.3364
163,0.1821,0.1092,0.3364
164,0.1819,0.1091,0.3364
165,0.1811,0.1087,0.3364
166,0.1822,0.1091,0.3364
167,0.1827,0.1097,0.3364
168,0.1823,0.1097,0.3364
169,0.1819,0.1095,0.3364
170,0.1824,0.1096,0.3364
171,0.1826,0.1098,0.3364
172,0.1834,0.1100,0.3364
173,0.1849,0.1105,0.3364
174,0.1862,0.1111,0.3364
175,0.1890,0.1122,0.3364
176,0.1899,0.1127,0.3364
177,0.1897,0.1127,0.3364
178,0.1900,0.1129,0.3364
179,0.1905,0.1131,0.3364
180,0.1895,0.1128,0.3364
181,0.1892,0.1127,0.3364
182,0.1906,0.1131,0.3364
183,0.1912,0.1134,0.3364
184,0.1905,0.1132,0.3364
185,0.1916,0.1135,0.3364
186,0.1933,0.1141,0.3364
187,0.1929,0.1141,0.3364
188,0.1932,0.1144,0.3364
189,0.1927,0.1147,0.3364
190,0.1929,0.1150,0.3364
191,0.1925,0.1147,0.3364
192,0.1935,0.1151,0.3364
193,0.1938,0.1152,0.3364
194,0.1937,0.1151,0.3364
195,0.1944,0.1152,0.3364
196,0.1963,0.1158,0.3364
197,0.1965,0.1158,0.3364
198,0.1984,0.1160,0.3364
199,0.1989,0.1161,0.3364
200,0.2005,0.1164,0.3364
201,0.2013,0.1165,0.3364
202,0.2018,0.1165,0.3364
203,0.2008,0.1163,0.3364
204,0.2008,0.1163,0.3364
205,0.2014,0.1164,0.3364
206,0.2016,0.1166,0.3364
207,0.2024,0.1167,0.3364
208,0.2031,0.1168,0.3364
209,0.2033,0.1168,0.3364
210,0.2034,0.1169,0.3364
211,0.2031,0.1170,0.3364
212,0.2039,0.1170,0.3364
213,0.2042,0.1171,0.3364
214,0.2053,0.1171,0.3364
215,0.2051,0.1170,0.3364
216,0.2048,0.1170,0.3364
217,0.2052,0.1170,0.3364
218,0.2056,0.1171,0.3364
219,0.2058,0.1172,0.3364
220,0.2058,0.1173,0.3364
221,0.2064,0.1174,0.3364
222,0.2066,0.1174,0.3364
223,0.2063,0.1174,0.3364
224,0.2068,0.1175,0.3364
225,0.2071,0.1174,0.3364
226,0.2074,0.1174,0.3364
227,0.2077,0.1176,0.3364
228,0.2079,0.1176,0.3364
229,0.2076,0.1176,0.3364
230,0.2071,0.1176,0.3364
231,0.2069,0.1176,0.3364
232,0.2067,0.1176,0.3364
233,0.2067,0.1176,0.3364
234,0.2067,0.1176,0.3364
235,0.2069,0.1176,0.3364
236,0.2070,0.1176,0.3364
237,0.2070,0.1176,0.3364
238,0.2071,0.1177,0.3364
239,0.2073,0.1177,0.3364
240,0.2076,0.1177,0.3364
241,0.2079,0.1177,0.3364
242,0.2076,0.1177,0.3364
243,0.2076,0.1177,0.3364
244,0.2076,0.1176,0.3364
245,0.2078,0.1176,0.3364
246,0.2078,0.1176,0.3364
247,0.2079,0.1177,0.3364
248,0.2080,0.1177,0.3364
249,0.2081,0.1178,0.3364
250,0.2081,0.1178,0.3364
251,0.2081,0.1178,0.3364
252,0.2081,0.1178,0.3364
253,0.2080,0.1177,0.3364
254,0.2075,0.1177,0.3364
255,0.2065,0.1175,0.3364
256,0.2074,0.1177,0.3364
257,0.2078,0.1178,0.3364
258,0.2076,0.1177,0.3364
259,0.2077,0.1177,0.3364
260,0.2074,0.1177,0.3364
261,0.2075,0.1177,0.3364
262,0.2078,0.1178,0.3364
263,0.2078,0.1177,0.3364
264,0.2081,0.1178,0.3364
265,0.2083,0.1177,0.3364
266,0.2084,0.1177,0.3364
267,0.2088,0.1178,0.3364
268,0.2087,0.1177,0.3364
269,0.2087,0.1177,0.3364
270,0.2089,0.1178,0.3364
271,0.2087,0.1177,0.3364
272,0.2087,0.1177,0.3364
273,0.2089,0.1178,0.3364
274,0.2089,0.1178,0.3364
275,0.2089,0.1178,0.3364
276,0.2092,0.1178,0.3364
277,0.2098,0.1179,0.3364
278,0.2097,0.1179,0.3364
279,0.2097,0.1179,0.3364
280,0.2097,0.1179,0.3364
281,0.2097,0.1180,0.3364
282,0.2097,0.1180,0.3364
283,0.2098,0.1180,0.3364
284,0.2100,0.1180,0.3364
285,0.2101,0.1180,0.3364
286,0.2101,0.1180,0.3364
287,0.2101,0.1180,0.3364
288,0.2101,0.1180,0.3364
289,0.2099,0.1180,0.3364
290,0.2099,0.1180,0.3364
291,0.2099,0.1180,0.3364
292,0.2099,0.1180,0.3364
293,0.2099,0.1180,0.3364
294,0.2099,0.1180,0.3364
295,0.2099,0.1180,0.3364
296,0.2101,0.1180,0.3364
297,0.2099,0.1180,0.3364
298,0.2090,0.1179,0.3364
299,0.2087,0.1179,0.3364
300,0.2090,0.1179,0.3364
301,0.2092,0.1179,0.3364
302,0.2097,0.1180,0.3364
303,0.2097,0.1180,0.3364
304,0.2095,0.1180,0.3364
305,0.2095,0.1180,0.3364
306,0.2095,0.1180,0.3364
307,0.2095,0.1180,0.3364
308,0.2097,0.1180,0.3364
309,0.2097,0.1180,0.3364
310,0.2097,0.1180,0.3364
311,0.2097,0.1180,0.3364
312,0.2097,0.1180,0.3364
313,0.2097,0.1180,0.3364
314,0.2095,0.1180,0.3364
315,0.2095,0.1180,0.3364
316,0.2097,0.1179,0.3364
317,0.2096,0.1179,0.3364
318,0.2094,0.1179,0.3364
319,0.2094,0.1179,0.3364
320,0.2096,0.1179,0.3364
321,0.2096,0.1179,0.3364
322,0.2096,0.1179,0.3364
323,0.2096,0.1179,0.3364
324,0.2096,0.1179,0.3364
325,0.2096,0.1179,0.3364
326,0.2096,0.1179,0.3364
327,0.2096,0.1179,0.3364
328,0.2096,0.1179,0.3364
329,0.2096,0.1179,0.3364
330,0.2097,0.1179,0.3364
331,0.2097,0.1179,0.3364
332,0.2097,0.1179,0.3364
333,0.2097,0.1179,0.3364
334,0.2097,0.1179,0.3364
