gen,mean p,sigma p,max p
335,0.2097,0.1179,0.3364
336,0.2097,0.1179,0.3364
337,0.2097,0.1179,0.3364
338,0.2097,0.1179,0.3364
339,0.2097,0.1179,0.3364
340,0.2097,0.1179,0.3364
341,0.2097,0.1179,0.3364
342,0.2097,0.1179,0.3364
343,0.2097,0.1179,0.3364
344,0.2097,0.1179,0.3364
345,0.2097,0.1179,0.3364
346,0.2097,0.1179,0.3364
347,0.2097,0.1179,0.3364
348,0.2097,0.1179,0.3364
349,0.2097,0.1179,0.3364
350,0.2097,0.1179,0.3364
351,0.2097,0.1179,0.3364
352,0.2097,0.1179,0.3364
353,0.2097,0.1180,0.3364
354,0.2097,0.1180,0.3364
355,0.2098,0.1180,0.3364
356,0.2098,0.1180,0.3364
357,0.2098,0.1180,0.3364
358,0.2098,0.1180,0.3364
359,0.2098,0.1180,0.3364
360,0.2098,0.1180,0.3364
361,0.2098,0.1180,0.3364
362,0.2098,0.1180,0.3364
363,0.2098,0.1180,0.3364
364,0.2098,0.1180,0.3364
365,0.2098,0.1180,0.3364
366,0.2098,0.1180,0.3364
367,0.2098,0.1180,0.3364
368,0.2098,0.1180,0.3364
369,0.2098,0.1180,0.3364
370,0.2098,0.1180,0.3364
371,0.2098,0.1180,0.3364
372,0.2098,0.1180,0.3364
373,0.2098,0.1180,0.3364
374,0.2098,0.1180,0.3364
375,0.2098,0.1180,0.3364
376,0.2098,0.1180,0.3364
377,0.2098,0.1180,0.3364
378,0.2098,0.1180,0.3364
379,0.2098,0.1180,0.3364
380,0.2098,0.1180,0.3364
381,0.2100,0.1180,0.3364
382,0.2100,0.1180,0.3364
383,0.2100,0.1180,0.3364
384,0.2100,0.1180,0.3364
385,0.2098,0.1180,0.3364
386,0.2098,0.1180,0.3364
387,0.2098,0.1180,0.3364
388,0.2098,0.1180,0.3364
389,0.2098,0.1180,0.3364
390,0.2098,0.1180,0.3364
391,0.2098,0.1180,0.3364
392,0.2098,0.1180,0.3364
393,0.2098,0.1180,0.3364
394,0.2098,0.1180,0.3364
395,0.2098,0.1180,0.3364
396,0.2098,0.1180,0.3364
397,0.2098,0.1180,0.3364
398,0.2098,0.1180,0.3364
399,0.2098,0.1180,0.3364
400,0.2098,0.1180,0.3364
401,0.2098,0.1180,0.3364
402,0.2098,0.1180,0.3364
403,0.2098,0.1180,0.3364
404,0.2098,0.1180,0.3364
405,0.2098,0.1180,0.3364
406,0.2098,0.1180,0.3364
407,0.2098,0.1180,0.3364
408,0.2098,0.1180,0.3364
409,0.2098,0.1180,0.3364
410,0.2098,0.1180,0.3364
411,0.2098,0.1180,0.3364
412,0.2098,0.1180,0.3364
413,0.2098,0.1180,0.3364
414,0.2098,0.1180,0.3364
415,0.2098,0.1180,0.3364
416,0.2098,0.1180,0.3364
417,0.2098,0.1180,0.3364
418,0.2098,0.1180,0.3364
419,0.2098,0.1180,0.3364
420,0.2098,0.1180,0.3364
421,0.2098,0.1180,0.3364
422,0.2098,0.1180,0.3364
423,0.2098,0.1180,0.3364
424,0.2098,0.1180,0.3364
425,0.2098,0.1180,0.3364
426,0.2098,0.1180,0.3364
427,0.2098,0.1180,0.3364
428,0.2098,0.1180,0.3364
429,0.2098,0.1180,0.3364
430,0.2098,0.1180,0.3364
431,0.2098,0.1180,0.3364
432,0.2098,0.1180,0.3364
433,0.2098,0.1180,0.3364
434,0.2098,0.1180,0.3364
435,0.2098,0.1180,0.3364
436,0.2098,0.1180,0.3364
437,0.2098,0.1180,0.3364
438,0.2098,0.1180,0.3364
439,0.2098,0.1180,0.3364
440,0.2098,0.1180,0.3364
441,0.2098,0.1180,0.3364
442,0.2098,0.1180,0.3364
443,0.2098,0.1180,0.3364
444,0.2098,0.1180,0.3364
445,0.2098,0.1180,0.3364
446,0.2098,0.1180,0.3364
447,0.2098,0.1180,0.3364
448,0.2098,0.1180,0.3364
449,0.2097,0.1179,0.3364
450,0.2097,0.1179,0.3364
451,0.2097,0.1179,0.3364
452,0.2097,0.1179,0.3364
453,0.2097,0.1179,0.3364
454,0.2097,0.1179,0.3364
455,0.2097,0.1179,0.3364
456,0.2097,0.1179,0.3364
457,0.2097,0.1179,0.3364
458,0.2097,0.1179,0.3364
459,0.2097,0.1179,0.3364
460,0.2097,0.1179,0.3364
461,0.2097,0.1179,0.3364
462,0.2097,0.1179,0.3364
463,0.2097,0.1179,0.3364
464,0.2097,0.1179,0.3364
465,0.2097,0.1179,0.3364
466,0.2097,0.1179,0.3364
467,0.2097,0.1179,0.3364
468,0.2097,0.1179,0.3364
469,0.2097,0.1179,0.3364
470,0.2097,0.1179,0.3364
471,0.2097,0.1179,0.3364
472,0.2097,0.1179,0.3364
473,0.2097,0.1179,0.3364
474,0.2097,0.1179,0.3364
475,0.2097,0.1179,0.3364
476,0.2097,0.1179,0.3364
477,0.2097,0.1179,0.3364
478,0.2097,0.1179,0.3364
479,0.2097,0.1179,0.3364
480,0.2097,0.1179,0.3364
481,0.2097,0.1179,0.3364
482,0.2097,0.1179,0.3364
483,0.2097,0.1179,0.3364
484,0.2097,0.1179,0.3364
485,0.2097,0.1179,0.3364
486,0.2097,0.1179,0.3364
487,0.2097,0.1179,0.3364
488,0.2097,0.1179,0.3364
489,0.2097,0.1179,0.3364
490,0.2097,0.1179,0.3364
491,0.2097,0.1179,0.3364
492,0.2097,0.1179,0.3364
493,0.2097,0.1179,0.3364
494,0.2097,0.1179,0.3364
495,0.2097,0.1179,0.3364
496,0.2097,0.1179,0.3364
497,0.2097,0.1179,0.3364
498,0.2097,0.1179,0.3364
499,0.2097,0.1179,0.3364
500,0.2097,0.1179,0.3364
501,0.2097,0.1179,0.3364
502,0.2097,0.1179,0.3364
503,0.2097,0.1179,0.3364
504,0.2097,0.1179,0.3364
505,0.2097,0.1179,0.3364
506,0.2097,0.1179,0.3364
507,0.2097,0.1179,0.3364
508,0.2097,0.1179,0.3364
509,0.2097,0.1179,0.3364
510,0.2097,0.1179,0.3364
511,0.2097,0.1179,0.3364
512,0.2097,0.1179,0.3364
513,0.2097,0.1179,0.3364
514,0.2097,0.1179,0.3364
515,0.2097,0.1179,0.3364
516,0.2097,0.1179,0.3364
517,0.2097,0.1179,0.3364
518,0.2097,0.1179,0.3364
519,0.2097,0.1179,0.3364
520,0.2097,0.1179,0.3364
521,0.2097,0.1179,0.3364
522,0.2097,0.1179,0.3364
523,0.2097,0.1179,0.3364
524,0.2097,0.1179,0.3364
525,0.2097,0.1179,0.3364
526,0.2097,0.1179,0.3364
527,0.2097,0.1179,0.3364
528,0.2097,0.1179,0.3364
529,0.2097,0.1179,0.3364
530,0.2097,0.1179,0.3364
531,0.2097,0.1179,0.3364
532,0.2097,0.1179,0.3364
533,0.2097,0.1179,0.3364
534,0.2097,0.1179,0.3364
535,0.2097,0.1179,0.3364
536,0.2097,0.1179,0.3364
537,0.2097,0.1179,0.3364
538,0.2097,0.1179,0.3364
539,0.2097,0.1179,0.3364
540,0.2097,0.1179,0.3364
541,0.2097,0.1179,0.3364
542,0.2097,0.1179,0.3364
543,0.2097,0.1179,0.3364
544,0.2097,0.1179,0.3364
545,0.2097,0.1179,0.3364
546,0.2097,0.1179,0.3364
547,0.2097,0.1179,0.3364
548,0.2097,0.1179,0.3364
549,0.2097,0.1179,0.3364
550,0.2097,0.1179,0.3364
551,0.2097,0.1179,0.3364
552,0.2097,0.1179,0.3364
553,0.2097,0.1179,0.3364
554,0.2097,0.1179,0.3364
555,0.2097,0.1179,0.3364
556,0.2097,0.1179,0.3364
557,0.2097,0.1179,0.3364
558,0.2097,0.1179,0.3364
559,0.2097,0.1179,0.3364
560,0.2097,0.1179,0.3364
561,0.2097,0.1179,0.3364
562,0.2097,0.1179,0.3364
563,0.2097,0.1179,0.3364
564,0.2097,0.1179,0.3364
565,0.2097,0.1179,0.3364
566,0.2097,0.1179,0.3364
567,0.2097,0.1179,0.3364
568,0.2097,0.1179,0.3364
569,0.2097,0.1179,0.3364
570,0.2097,0.1179,0.3364
571,0.2097,0.1179,0.3364
572,0.2097,0.1179,0.3364
573,0.2097,0.1179,0.3364
574,0.2097,0.1179,0.3364
575,0.2097,0.1179,0.3364
576,0.2097,0.1179,0.3364
577,0.2097,0.1179,0.3364
578,0.2097,0.1179,0.3364
579,0.2097,0.1179,0.3364
580,0.2097,0.1179,0.3364
581,0.2097,0.1179,0.3364
582,0.2097,0.1179,0.3364
583,0.2097,0.1179,0.3364
584,0.2097,0.1179,0.3364
585,0.2097,0.1179,0.3364
586,0.2097,0.1179,0.3364
587,0.2097,0.1179,0.3364
588,0.2097,0.1179,0.3364
589,0.2097,0.1179,0.3364
590,0.2097,0.1179,0.3364
591,0.2097,0.1179,0.3364
592,0.2097,0.1179,0.3364
593,0.2097,0.1179,0.3364
594,0.2097,0.1179,0.3364
595,0.2097,0.1179,0.3364
596,0.2096,0.1179,0.3364
597,0.2094,0.1179,0.3364
598,0.2094,0.1179,0.3364
599,0.2094,0.1179,0.3364
600,0.2094,0.1179,0.3364
601,0.2094,0.1179,0.3364
602,0.2094,0.1179,0.3364
603,0.2094,0.1179,0.3364
604,0.2094,0.1179,0.3364
605,0.2094,0.1179,0.3364
606,0.2094,0.1179,0.3364
607,0.2094,0.1179,0.3364
608,0.2094,0.1179,0.3364
609,0.2094,0.1179,0.3364
610,0.2094,0.1179,0.3364
611,0.2094,0.1179,0.3364
612,0.2094,0.1179,0.3364
613,0.2094,0.1179,0.3364
614,0.2094,0.1179,0.3364
615,0.2094,0.1179,0.3364
616,0.2096,0.1179,0.3364
617,0.2096,0.1179,0.3364
618,0.2096,0.1179,0.3364
619,0.2096,0.1179,0.3364
620,0.2096,0.1179,0.3364
621,0.2096,0.1179,0.3364
622,0.2096,0.1179,0.3364
623,0.2096,0.1179,0.3364
624,0.2096,0.1179,0.3364
625,0.2096,0.1179,0.3364
626,0.2096,0.1179,0.3364
627,0.2096,0.1179,0.3364
628,0.2096,0.1179,0.3364
629,0.2096,0.1179,0.3364
630,0.2096,0.1179,0.3364
631,0.2096,0.1179,0.3364
632,0.2096,0.1179,0.3364
633,0.2096,0.1179,0.3364
634,0.2096,0.1179,0.3364
635,0.2096,0.1179,0.3364
636,0.2096,0.1179,0.3364
637,0.2096,0.1179,0.3364
638,0.2096,0.1179,0.3364
639,0.2096,0.1179,0.3364
640,0.2096,0.1179,0.3364
641,0.2096,0.1179,0.3364
642,0.2096,0.1179,0.3364
643,0.2096,0.1179,0.3364
644,0.2096,0.1179,0.3364
645,0.2096,0.1179,0.3364
646,0.2096,0.1179,0.3364
647,0.2096,0.1179,0.3364
648,0.2096,0.1179,0.3364
649,0.2096,0.1179,0.3364
650,0.2096,0.1179,0.3364
651,0.2096,0.1179,0.3364
652,0.2096,0.1179,0.3364
653,0.2096,0.1179,0.3364
654,0.2096,0.1179,0.3364
655,0.2096,0.1179,0.3364
656,0.2096,0.1179,0.3364
657,0.2096,0.1179,0.3364
658,0.2096,0.1179,0.3364
659,0.2096,0.1179,0.3364
660,0.2096,0.1179,0.3364
661,0.2096,0.1179,0.3364
662,0.2096,0.1179,0.3364
663,0.2096,0.1179,0.3364
664,0.2096,0.1179,0.3364
665,0.2096,0.1179,0.3364
666,0.2096,0.1179,0.3364
667,0.2096,0.1179,0.3364
668,0.2096,0.1179,0.3364
669,0.2096,0.1179,0.3364
670,0.2096,0.1179,0.3364
671,0.2096,0.1179,0.3364
672,0.2096,0.1179,0.3364
673,0.2096,0.1179,0.3364
674,0.2096,0.1179,0.3364
675,0.2096,0.1179,0.3364
676,0.2096,0.1179,0.3364
677,0.2096,0.1179,0.3364
678,0.2096,0.1179,0.3364
679,0.2096,0.1179,0.3364
680,0.2096,0.1179,0.3364
681,0.2096,0.1179,0.3364
682,0.2096,0.1179,0.3364
683,0.2096,0.1179,0.3364
684,0.2096,0.1179,0.3364
685,0.2096,0.1179,0.3364
686,0.2096,0.1179,0.3364
687,0.2096,0.1179,0.3364
688,0.2096,0.1179,0.3364
689,0.2096,0.1179,0.3364
690,0.2096,0.1179,0.3364
691,0.2096,0.1179,0.3364
692,0.2096,0.1179,0.3364
693,0.2096,0.1179,0.3364
694,0.2096,0.1179,0.3364
695,0.2096,0.1179,0.3364
696,0.2096,0.1179,0.3364
697,0.2096,0.1179,0.3364
698,0.2096,0.1179,0.3364
699,0.2096,0.1179,0.3364
700,0.2096,0.1179,0.3364
701,0.2096,0.1179,0.3364
702,0.2096,0.1179,0.3364
703,0.2096,0.1179,0.3364
704,0.2096,0.1179,0.3364
705,0.2096,0.1179,0.3364
706,0.2096,0.1179,0.3364
707,0.2096,0.1179,0.3364
708,0.2096,0.1179,0.3364
709,0.2096,0.1179,0.3364
710,0.2096,0.1179,0.3364
711,0.2096,0.1179,0.3364
712,0.2096,0.1179,0.3364
713,0.2096,0.1179,0.3364
714,0.2096,0.1179,0.3364
715,0.2096,0.1179,0.3364
716,0.2096,0.1179,0.3364
717,0.2096,0.1179,0.3364
718,0.2096,0.1179,0.3364
719,0.2096,0.1179,0.3364
720,0.2096,0.1179,0.3364
721,0.2096,0.1179,0.3364
722,0.2096,0.1179,0.3364
723,0.2096,0.1179,0.3364
724,0.2096,0.1179,0.3364
725,0.2096,0.1179,0.3364
726,0.2096,0.1179,0.3364
727,0.2096,0.1179,0.3364
728,0.2096,0.1179,0.3364
729,0.2096,0.1179,0.3364
730,0.2096,0.1179,0.3364
731,0.2096,0.1179,0.3364
732,0.2096,0.1179,0.3364
733,0.2096,0.1179,0.3364
734,0.2096,0.1179,0.3364
735,0.2096,0.1179,0.3364
736,0.2096,0.1179,0.3364
737,0.2096,0.1179,0.3364
738,0.2096,0.1179,0.3364
739,0.2096,0.1179,0.3364
740,0.2096,0.1179,0.3364
741,0.2096,0.1179,0.3364
742,0.2096,0.1179,0.3364
743,0.2096,0.1179,0.3364
744,0.2096,0.1179,0.3364
745,0.2096,0.1179,0.3364
746,0.2096,0.1179,0.3364
747,0.2096,0.1179,0.3364
748,0.2096,0.1179,0.3364
749,0.2096,0.1179,0.3364
750,0.2096,0.1179,0.3364
751,0.2096,0.1179,0.3364
752,0.2096,0.1179,0.3364
753,0.2096,0.1179,0.3364
754,0.2096,0.1179,0.3364
755,0.2096,0.1179,0.3364
756,0.2096,0.1179,0.3364
757,0.2096,0.1179,0.3364
758,0.2096,0.1179,0.3364
759,0.2096,0.1179,0.3364
760,0.2096,0.1179,0.3364
761,0.2096,0.1179,0.3364
762,0.2096,0.1179,0.3364
763,0.2096,0.1179,0.3364
764,0.2096,0.1179,0.3364
765,0.2096,0.1179,0.3364
766,0.2096,0.1179,0.3364
767,0.2096,0.1179,0.3364
768,0.2096,0.1179,0.3364
769,0.2096,0.1179,0.3364
770,0.2096,0.1179,0.3364
771,0.2096,0.1179,0.3364
772,0.2096,0.1179,0.3364
773,0.2096,0.1179,0.3364
774,0.2096,0.1179,0.3364
775,0.2096,0.1179,0.3364
776,0.2096,0.1179,0.3364
777,0.2094,0.1179,0.3364
778,0.2094,0.1179,0.3364
779,0.2094,0.1179,0.3364
780,0.2094,0.1179,0.3364
781,0.2094,0.1179,0.3364
782,0.2094,0.1179,0.3364
783,0.2094,0.1179,0.3364
784,0.2094,0.1179,0.3364
785,0.2094,0.1179,0.3364
786,0.2094,0.1179,0.3364
787,0.2096,0.1179,0.3364
788,0.2096,0.1179,0.3364
789,0.2096,0.1179,0.3364
790,0.2096,0.1179,0.3364
791,0.2096,0.1179,0.3364
792,0.2096,0.1179,0.3364
793,0.2096,0.1179,0.3364
794,0.2096,0.1179,0.3364
795,0.2096,0.1179,0.3364
796,0.2096,0.1179,0.3364
797,0.2096,0.1179,0.3364
798,0.2096,0.1179,0.3364
799,0.2096,0.1179,0.3364
800,0.2096,0.1179,0.3364
801,0.2096,0.1179,0.3364
802,0.2096,0.1179,0.3364
803,0.2096,0.1179,0.3364
804,0.2096,0.1179,0.3364
805,0.2096,0.1179,0.3364
806,0.2096,0.1179,0.3364
807,0.2096,0.1179,0.3364
808,0.2096,0.1179,0.3364
809,0.2096,0.1179,0.3364
810,0.2096,0.1179,0.3364
811,0.2096,0.1179,0.3364
812,0.2096,0.1179,0.3364
813,0.2096,0.1179,0.3364
814,0.2096,0.1179,0.3364
815,0.2096,0.1179,0.3364
816,0.2096,0.1179,0.3364
817,0.2096,0.1179,0.3364
818,0.2096,0.1179,0.3364
819,0.2096,0.1179,0.3364
820,0.2096,0.1179,0.3364
