p,mean p omega,u,deg
0.9547,0.9835,9.9343,4.0000
0.9801,0.9832,9.9917,2.0000
0.9809,0.9719,10.0074,2.0000
0.9801,0.9812,9.9201,7.0000
0.9809,0.9781,10.0207,4.0000
0.9644,0.9517,9.7489,9.0000
0.9781,0.9655,10.2073,2.0000
0.9826,0.9722,9.9819,3.0000
0.9513,0.9632,10.0580,8.0000
0.9809,0.9440,9.8568,5.0000
0.9936,0.9829,10.0633,2.0000
0.9571,0.9709,9.8380,5.0000
0.9809,0.9801,9.9893,1.0000
0.9748,0.9781,9.9856,2.0000
0.9801,0.9708,10.2487,3.0000
0.9809,0.9645,10.0097,5.0000
0.9515,0.9759,9.9661,6.0000
0.9763,0.9712,9.9558,3.0000
0.9801,0.9840,9.8762,3.0000
0.9801,0.9465,9.9216,4.0000
0.9781,0.8969,11.4644,4.0000
0.9748,0.9454,9.9639,6.0000
0.9936,0.9782,10.2290,2.0000
0.9637,0.9809,9.8358,1.0000
0.9644,0.9731,9.9658,7.0000
0.9529,0.9715,10.0736,3.0000
0.9637,0.9786,9.7264,2.0000
0.9809,0.9773,9.9649,4.0000
0.9801,0.9818,9.9959,2.0000
0.9826,0.9851,10.0109,3.0000
0.9801,0.9703,10.1084,4.0000
0.9845,NaN,0.0000,0.0000
0.9713,0.9682,10.2229,3.0000
0.9936,0.9803,9.9864,4.0000
0.9718,0.9790,9.9732,5.0000
0.9647,0.9790,9.7990,5.0000
0.9763,0.9783,10.0496,7.0000
0.9801,0.9715,10.1276,7.0000
0.9884,0.9826,10.0354,1.0000
0.9849,0.9806,9.8372,3.0000
0.9545,0.9675,10.0189,4.0000
0.9763,0.9800,9.8710,5.0000
0.9936,0.9786,9.2320,4.0000
0.9801,0.9758,9.9219,4.0000
0.9809,0.9801,10.0980,1.0000
0.9820,0.9406,10.1469,5.0000
0.9629,0.9794,9.9543,3.0000
0.9719,0.9777,9.8441,4.0000
0.9820,0.9703,9.8992,6.0000
0.8386,0.9775,9.3208,2.0000
0.9809,0.9789,9.9073,5.0000
0.9781,0.9747,9.9941,2.0000
0.9727,0.9782,9.8282,2.0000
0.9809,0.9824,9.9541,6.0000
0.9809,0.9468,10.0083,1.0000
0.9679,0.9715,9.8161,2.0000
0.9647,0.9989,9.6582,1.0000
0.9989,0.9771,10.1341,5.0000
0.9944,0.9760,10.2376,4.0000
0.9801,0.9810,9.9648,3.0000
0.9989,0.9705,10.0176,3.0000
0.9629,0.9764,9.9383,5.0000
0.9809,0.9650,10.0905,3.0000
0.9759,0.9545,9.9330,1.0000
0.9719,0.9664,9.8396,3.0000
0.9647,0.9768,9.9091,6.0000
0.9781,0.9453,10.7245,3.0000
0.9801,0.9707,10.0923,7.0000
0.9727,0.9797,9.8347,4.0000
0.9781,0.9714,9.9728,2.0000
0.9581,0.9817,9.7767,3.0000
0.9826,0.9879,9.8889,3.0000
0.9629,0.9713,9.9162,1.0000
0.9763,0.9690,9.9641,3.0000
0.9801,0.9408,10.0496,4.0000
0.9629,0.9500,10.5552,2.0000
0.9781,0.9742,9.7812,3.0000
0.9647,0.9664,10.0513,3.0000
0.9801,0.9756,9.7983,4.0000
