p,mean p omega,u,deg
0.9515,0.9799,7.1671,3.0000
0.9826,0.9254,11.0828,3.0000
0.9190,0.9406,9.3601,5.0000
0.8279,0.9642,8.4495,3.0000
0.7846,0.8279,11.1079,1.0000
0.9727,0.9224,10.2995,4.0000
0.8449,0.7550,14.2974,5.0000
0.6621,0.8402,10.3786,3.0000
0.9781,0.7340,12.6924,3.0000
0.9867,0.3087,10.0119,1.0000
0.9781,0.9094,9.0460,6.0000
0.8260,0.7969,8.8146,3.0000
0.9522,0.9005,9.1711,2.0000
0.9667,0.7195,10.6737,3.0000
0.9557,0.9386,8.2807,7.0000
0.3766,0.8762,9.5633,3.0000
0.9718,0.7624,15.4217,4.0000
0.9104,0.9160,8.9172,3.0000
0.9513,0.8429,10.1098,5.0000
0.9801,0.9030,11.1071,2.0000
0.9719,0.9104,8.4498,1.0000
0.9522,0.8186,9.7206,3.0000
0.9190,0.8783,11.9517,4.0000
0.9855,0.9855,10.0458,1.0000
0.9833,0.7731,13.2302,4.0000
0.6738,0.8375,8.3216,6.0000
0.9644,0.9235,9.3248,3.0000
0.7846,0.9394,7.2897,3.0000
0.9293,0.8194,11.4298,3.0000
0.9801,0.9263,8.8688,4.0000
0.6738,0.9604,7.7566,5.0000
0.9801,0.8498,11.4650,2.0000
0.9801,0.9253,8.1952,3.0000
0.9900,0.5568,12.7512,3.0000
0.8519,0.9293,10.6699,3.0000
0.9293,0.9327,7.7010,4.0000
0.6621,0.6790,13.4291,6.0000
0.9127,0.9407,7.0965,2.0000
0.9801,0.9483,11.2165,3.0000
0.9781,0.8542,9.5899,4.0000
0.8817,0.8925,9.8725,3.0000
0.9900,0.8901,10.2533,2.0000
0.3790,0.7508,8.5338,5.0000
0.6621,NaN,12.1790,0.0000
0.9515,0.8094,9.6600,1.0000
0.7463,0.9191,8.3056,3.0000
0.1617,0.8960,6.7421,4.0000
0.3790,0.8437,6.4087,5.0000
0.9783,0.9348,10.0848,4.0000
0.3766,0.7387,7.3603,3.0000
0.8817,0.9121,9.7955,4.0000
0.8663,0.7292,13.7845,3.0000
0.8499,NaN,11.3018,0.0000
0.9127,0.8281,12.4632,5.0000
0.9801,0.9328,9.5271,5.0000
0.8094,0.9125,9.1292,2.0000
0.9801,0.9584,9.5563,9.0000
0.8348,0.7136,12.4507,6.0000
0.3790,0.9618,8.2372,4.0000
0.5284,0.7919,7.4710,6.0000
0.9867,0.9025,8.2102,5.0000
0.9855,0.8566,10.0604,4.0000
0.9801,0.8318,9.4918,5.0000
0.6738,0.7683,8.1365,5.0000
0.6084,0.8413,10.8067,7.0000
0.9190,0.9665,10.4097,7.0000
0.3297,0.3773,9.5248,1.0000
0.9801,0.7671,11.3466,3.0000
0.8279,0.8309,8.4345,4.0000
0.8449,0.7366,12.5505,3.0000
0.7463,0.8311,8.8893,6.0000
0.9293,0.2579,16.7138,1.0000
0.9801,0.8381,9.9086,3.0000
0.6259,0.8166,10.6223,4.0000
0.9718,0.8835,9.9378,5.0000
0.8987,0.8311,11.6846,3.0000
0.9293,0.9572,9.2712,2.0000
0.9781,0.9801,9.9803,1.0000
0.9644,0.8292,10.2923,7.0000
0.7846,0.9243,10.2946,9.0000
0.6259,0.8725,8.3316,3.0000
0.7846,0.9801,9.3419,3.0000
0.8150,0.9593,9.0342,3.0000
0.9468,0.9301,9.5625,9.0000
0.9629,0.7243,6.0041,6.0000
0.8669,0.9665,7.3665,6.0000
0.9781,0.7234,8.5169,2.0000
0.6259,0.6613,10.2156,3.0000
0.9801,0.8871,11.2241,8.0000
0.9629,0.8346,9.8205,7.0000
0.9727,0.7485,10.1835,5.0000
0.7846,0.9653,9.0447,5.0000
0.9801,0.8608,11.5577,5.0000
0.9515,0.9589,9.8783,5.0000
0.9801,0.8838,9.2196,5.0000
0.3087,0.9301,8.3791,7.0000
0.9637,0.8585,15.3539,5.0000
0.9833,0.8751,12.9222,4.0000
0.9867,0.8879,11.2732,6.0000
0.9801,0.8275,6.2867,3.0000
0.5284,0.9040,8.1480,4.0000
0.8252,0.9046,10.5993,4.0000
0.9513,0.7717,10.0739,4.0000
0.9515,0.4605,16.3883,4.0000
0.9781,0.8296,12.2810,6.0000
0.9513,0.9145,10.9993,6.0000
0.9513,0.9681,9.9484,5.0000
0.9801,0.8346,9.9670,5.0000
0.9801,0.9276,7.0413,4.0000
0.8669,0.9039,9.6062,4.0000
0.7846,0.9390,7.7040,6.0000
0.7786,0.8760,10.4770,5.0000
0.9204,0.7065,7.8689,4.0000
0.8307,0.8817,10.2854,1.0000
0.9647,0.7057,9.0085,4.0000
0.6597,0.7848,12.6409,5.0000
0.9936,0.8205,9.3352,5.0000
0.9204,0.6900,14.0980,3.0000
0.9718,0.8465,13.1167,5.0000
0.9899,0.9293,10.5130,1.0000
0.1617,0.7245,9.3079,3.0000
0.9293,0.9552,9.7781,3.0000
0.9637,0.9104,11.1987,6.0000
0.7846,0.9781,9.3682,3.0000
0.7871,0.7901,10.6237,4.0000
0.9801,0.6801,16.2792,3.0000
0.9729,0.9426,9.9510,7.0000
0.6738,0.8701,10.3964,3.0000
0.9293,0.9109,9.0397,4.0000
0.9801,0.7461,12.3894,4.0000
0.9647,0.9018,9.7105,8.0000
0.9867,0.7549,8.4305,4.0000
0.9801,0.6631,16.1836,5.0000
0.9686,0.6568,15.8676,2.0000
0.6738,0.8817,7.9208,1.0000
0.9719,0.9205,5.0987,7.0000
0.8103,0.9826,8.2769,2.0000
0.3087,0.7536,9.0565,4.0000
0.9781,0.8726,8.3781,3.0000
0.9781,0.8687,8.6902,6.0000
0.9801,0.9808,7.4342,3.0000
0.6738,0.9690,6.2537,3.0000
0.7481,0.8294,9.8303,2.0000
0.8279,0.8963,9.2374,7.0000
0.9900,0.9458,9.7971,5.0000
0.9127,0.8057,10.8309,5.0000
0.7520,0.8870,10.0870,4.0000
0.8736,0.7585,12.0562,4.0000
0.9801,0.9119,9.6169,6.0000
0.9312,0.8011,13.8749,4.0000
0.9783,0.8451,9.9427,3.0000
0.8150,0.9006,10.0120,5.0000
0.8449,0.8369,9.1189,8.0000
0.7520,0.7809,9.5179,5.0000
0.9513,0.9575,9.7751,5.0000
0.3773,0.9091,7.5109,6.0000
0.9513,0.9096,7.9406,4.0000
0.8449,0.9513,9.7017,1.0000
0.9190,0.8173,9.2058,2.0000
0.8817,0.9360,8.8363,3.0000
0.9729,0.9560,10.9906,3.0000
0.6170,NaN,0.0000,0.0000
0.8276,0.8811,11.1064,4.0000
0.8499,NaN,0.0000,0.0000
0.9647,0.8950,10.0010,6.0000
0.8736,0.8690,8.8087,7.0000
0.3766,0.7596,9.7468,5.0000
0.9936,0.5839,13.9494,5.0000
0.8669,0.9274,8.5401,5.0000
0.8348,0.9567,9.3926,7.0000
0.9513,0.9620,9.3082,3.0000
0.9856,0.7481,0.0000,1.0000
0.9801,0.9856,10.1715,1.0000
0.9647,0.9268,8.4740,2.0000
0.1617,0.9663,10.0214,2.0000
0.9900,0.9435,9.3602,4.0000
0.9809,0.8301,10.0347,5.0000
0.9936,0.9632,8.3097,3.0000
0.8279,0.9344,8.0240,6.0000
0.9833,0.7664,10.6455,2.0000
0.7481,0.9098,9.3268,6.0000
0.6259,0.9492,8.7140,6.0000
0.7846,0.8279,11.2248,1.0000
0.9637,0.8916,10.3388,4.0000
0.8375,0.9899,9.2048,1.0000
0.3087,0.8996,8.8387,2.0000
0.9809,0.5497,10.5160,3.0000
0.8499,0.6599,10.1132,5.0000
0.8968,0.9867,9.1015,1.0000
0.8457,0.9801,8.6982,1.0000
0.0741,NaN,0.0000,0.0000
0.9293,0.9390,8.7469,5.0000
0.9809,0.8440,11.7093,7.0000
0.7550,0.6191,13.4729,2.0000
0.9801,0.9642,9.4774,6.0000
0.8499,0.8495,9.3948,7.0000
0.8348,0.9783,8.5476,1.0000
0.9637,0.8191,10.0959,5.0000
0.7924,0.9650,9.4313,3.0000
0.9067,0.8598,9.0190,5.0000
0.9513,0.8732,7.8509,3.0000
0.8736,0.9805,17.5552,2.0000
0.8968,0.7744,11.0816,4.0000
0.9779,0.8953,10.0164,11.0000
0.9637,0.8826,11.7142,5.0000
0.9801,0.9801,10.0000,2.0000
0.8742,0.8788,10.8239,5.0000
0.9801,0.8622,11.4481,4.0000
0.9545,0.8371,7.3106,7.0000
0.9801,0.9801,10.0000,1.0000
0.8348,0.9761,8.6090,4.0000
0.9611,0.7830,15.5164,3.0000
0.8669,0.8269,10.6908,5.0000
0.9727,0.7845,10.5827,3.0000
0.9826,0.8952,10.6855,2.0000
0.7846,0.9791,9.3085,2.0000
0.6621,0.6593,9.0709,3.0000
0.9428,0.7471,11.2022,4.0000
0.9513,0.7759,12.0823,2.0000
0.6738,0.7731,8.8312,4.0000
0.9822,0.7755,18.0535,4.0000
0.9190,0.9833,9.3571,1.0000
0.5820,0.8895,9.9546,6.0000
0.9104,0.9644,8.7817,5.0000
0.9647,0.8895,9.8827,3.0000
0.8742,0.9773,9.6232,3.0000
0.9545,0.8233,8.7603,6.0000
0.9718,0.9449,8.0703,5.0000
0.9515,0.9001,9.3754,7.0000
0.7463,0.9244,10.3624,5.0000
0.6832,0.9857,8.9049,3.0000
0.9781,0.9801,6.9760,2.0000
0.9778,0.7434,12.3432,1.0000
0.9293,0.9595,8.5258,6.0000
0.9718,0.9681,9.0229,2.0000
0.7846,0.9424,8.3120,4.0000
0.9781,0.9196,7.4122,3.0000
0.9801,0.8806,9.5104,3.0000
0.6597,0.8600,6.8790,2.0000
0.2579,0.8738,7.5757,4.0000
0.9809,0.8873,9.6984,4.0000
0.8817,0.8279,10.8263,7.0000
0.9522,0.7756,8.6206,4.0000
0.9783,0.8807,9.8541,8.0000
0.9312,0.8228,10.7272,4.0000
0.9140,0.7846,8.9520,4.0000
0.6738,0.8945,8.9998,4.0000
0.7481,0.9517,7.8939,5.0000
0.9801,0.8962,10.6820,5.0000
0.9781,0.8142,10.4564,4.0000
0.8348,0.8529,10.6967,6.0000
0.9611,0.8165,12.9719,2.0000
0.6738,0.9355,8.4672,8.0000
0.9801,0.9735,8.5168,2.0000
0.9515,0.9662,10.1269,4.0000
0.9801,0.9801,10.0000,1.0000
0.7481,NaN,0.0000,0.0000
0.9778,0.8205,12.9509,4.0000
0.9801,0.8643,10.7451,4.0000
0.9801,0.9033,9.9368,3.0000
0.9783,0.9293,9.9910,1.0000
0.7481,0.7989,7.8232,7.0000
0.9801,0.1617,9.9786,1.0000
0.9104,0.9778,8.1165,5.0000
0.9899,0.6620,15.4104,2.0000
0.9826,0.9303,12.9445,4.0000
0.9293,0.9139,9.5571,6.0000
0.9936,0.8975,11.5999,2.0000
0.9781,0.9251,11.2070,5.0000
0.6738,0.9190,9.5913,3.0000
0.6621,0.9335,10.4348,4.0000
0.6597,0.8211,6.8187,2.0000
0.9801,0.9104,9.2029,1.0000
0.9867,0.7628,12.6971,3.0000
0.9293,0.8964,10.1965,6.0000
0.9781,0.8405,9.5791,9.0000
0.9611,0.9438,10.4272,5.0000
0.7463,0.9801,9.3129,1.0000
0.9199,0.8397,8.8103,4.0000
0.8736,0.9790,10.0197,3.0000
0.6738,0.9047,9.8206,2.0000
0.3087,0.8101,12.6897,5.0000
0.7481,0.9612,7.1856,6.0000
0.9801,0.9432,8.9563,7.0000
0.9647,0.8682,7.5836,3.0000
0.8740,0.9428,9.3119,1.0000
0.9190,0.6974,9.8408,2.0000
0.3087,0.9801,5.7897,2.0000
